FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 O;DAY-TIME AND MONTH TASKED ON TARGET;TOT;A;2030/041;10;AN
;DAY-TIME ON TARGET TO THE SECOND, ZULU;TOTS;B;2483/002;9;AN
2 C;NOT EARLIER THAN DAY-TIME AND MONTH;NET; ;2030/046;10;AN
3 C;NOT LATER THAN DAY-TIME;NLT;A;2000/087;7;AN
;DAY-TIME AND MONTH OFF TARGET;TOF;B;2030/042;10;AN
4 M;SHIP TARGET IDENTITY; ; ;1416/006;3;A
5 M;SHIP TYPE CATEGORY; ; ;1036/008;2-5;A
6 O;SPECIAL HULL NUMBER; ; ;1012/245;1-4;N
7 O;SHIP NAME, ABBREVIATED; ; ;1022/243;1-30;X
8 M;TARGET PRIORITY IDENTIFIER; ; ;1076/008;1;N
9 O;TARGET PRIORITY, LITERAL; ; ;1076/011;1-5;AN
10 M;DAY-TIME OF POSITION; ; ;2000/018;7;AN
11 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES;LATM;A;2023/001;11;AN
;POSITION, TRUE BEARING AND RANGE IN NM;BAR;B;2281/001;7-20;X
;LOCATION, DECISECONDS;LATDS;C;2187/001;19;ANS
12 O;COMPONENT TARGET IDENTIFIER; ; ;1416/005;1-12;X
13 O;COURSE IN DEGREES, TRUE; ; ;1439/004;3;N
14 O;SPEED IN KNOTS, DECIMAL PROHIBITED; ; ;1061/016;1-3;N
