FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;SHIP IDENTIFICATION; ;A;2021/001;4-10;X
;ICAO LOCATION IDENTIFIER; ;B;1125/001;4;AN
2 M;DAY-TIME OF DEPARTURE, VERIFIED; ;A;2013/031;8;AN
;DAY-TIME OF DEPARTURE; ;B;2000/012;7;AN
3 M;DAY-TIME ON STATION, VERIFIED; ;A;2013/016;8;AN
;DAY-TIME ON STATION; ;B;2000/033;7;AN
4 M;DAY-TIME OFF STATION, VERIFIED; ;A;2013/017;8;AN
;DAY-TIME OFF STATION; ;B;2000/035;7;AN
5 M;DAY-TIME OF ARRIVAL, VERIFIED; ;A;2013/032;8;AN
;DAY-TIME OF ARRIVAL; ;B;2000/002;7;AN
6 M;SHIP IDENTIFICATION; ;A;2021/001;4-10;X
;ICAO LOCATION IDENTIFIER; ;B;1125/001;4;AN
7 M;MISSION NUMBER;MSNNO;A;1012/069;1-8;X
;SORTIE NUMBER; ;B;1012/065;1-8;X
