FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;PRIMARY AERIAL MISSION TYPE; ; ;1285/031;2-6;AN
2 M;TASKED UNIT DESIGNATOR; ; ;1028/041;1-30;X
3 M;MISSION NUMBER; ; ;1012/069;1-8;X
4 O;AIRCRAFT CALL SIGN, ABBREVIATED; ; ;1129/034;1-12;X
5 O;NUMBER OF AIRCRAFT, 0-99; ; ;1044/322;1-2;N
6 O;AIRCRAFT TYPE AND MODEL;ACTYP;A;1015/020;2-6;AN
;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;B;1015/018;2-6;AN
7 O;PRIMARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;PFREQ;A;1068/013;1-8;NS
;PRIMARY FREQUENCY DESIGNATOR;PDESIG;B;1396/002;1-8;AN
8 O;SECONDARY FREQUENCY IN MEGAHERTZ, .0000001 - 99999999;SFREQ;A;1068/014;1-8;NS
;SECONDARY FREQUENCY DESIGNATOR;SDESIG;B;1396/003;1-8;AN
