FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;FFIRN/FUDN;STRUCTURE
1 M;TYPE OF CONTACT; ; ;1351/001;6-7;A
2 M;GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;A;2023/001;11;AN
;GEOGRAPHIC POSITION, LAT/LONG, SECONDS; ;B;2024/001;15;AN
;GEOGRAPHIC POSITION, GEOREF, MINUTE; ;C;2017/001;8;AN
;GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;D;2018/001;12;AN
;GEOGRAPHIC POSITION, UTM 100-METRE; ;E;2087/001;11;AN
;GEOGRAPHIC POSITION, UTM 10-METRE; ;F;2086/001;13;AN
;ICAO LOCATION IDENTIFIER; ;G;1125/001;4;AN
;LOCATION OR POSITION NAME;N;H;1022/006;1-15;X
3 M;NAME/RANK OF CONTACT; ; ;1022/072;1-20;X
4 M;UNIT IDENTIFICATION WITH OFFICE SYMBOL; ; ;1028/031;1-20;X
* 5 M;TELEPHONE NUMBER; ; ;1361/002;1-23;X
