FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;PLACE LOCATION IDENTIFIER;1-10;Instructive;;1.0;In Service;03 Dec 07
2;DESTINATION OR RECCE TARGET IDENTIFIER;1-20;Instructive;;1.0;In Service;03 Dec 07
3;PICK-UP POINT IDENTIFIER;1-20;Instructive;;1.0;In Service;03 Dec 07
4;DEBRIEFING LOCATION IDENTIFIER;1-20;Instructive;;1.0;In Service;03 Dec 07
5;BRIEFING LOCATION IDENTIFIER;1-20;Instructive;;1.0;In Service;03 Dec 07
6;INITIAL POINT IDENTIFIER;1-15;Instructive;PROVIDE THE IDENTIFIER FOR THE INITIAL POINT.;1.0;In Service;03 Dec 07
7;TERMINAL IDENTIFIER;1-20;Instructive;;1.0;In Service;03 Dec 07
9;MINEFIELD IDENTIFIER;1-20;Instructive;;1.0;In Service;03 Dec 07
11;BYPASS IDENTIFICATION;1-15;Instructive;;1.0;In Service;03 Dec 07
12;IDENTIFICATION (MILITARY);1-15;Instructive;;1.0;In Service;03 Dec 07
13;IDENTIFICATION (CIVILIAN);1-15;Instructive;;1.0;In Service;03 Dec 07
15;EQUIPMENT LOCATION;1-68;Instructive;THE PLACE WHERE AN ITEM OF EQUIPMENT IS LOCATED.;1.0;In Service;03 Dec 07
16;TIME SEPARATION OPERATING AREA OFFSET PARAMETER;1-20;Instructive;;1.0;In Service;03 Dec 07
