FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;SENSOR TYPE;2-6;Individual;A DEVICE THAT RESPONDS TO A SIGNAL OR STIMULUS (E.G., HEAT, LIGHT, SOUND, PRESSURE, MAGNETISM) AND TRANSMITS A RESULTING IMPULSE (AS FOR MEASUREMENT OR OPERATING A CONTROL).;1.0;In Service;03 Dec 07
2;SHORAD SENSOR TYPE;2-5;Individual;;1.0;In Service;03 Dec 07
3;AIRBORNE SENSOR TYPE;2-5;Individual;;1.0;In Service;03 Dec 07
4;MAGNETIC ANOMALY DETECTOR;5-5;Individual;;1.0;In Service;03 Dec 07
5;ACOUSTIC SENSOR;2-6;Individual;;1.0;In Service;03 Dec 07
6;AIR DEFENCE SENSOR;2-5;Individual;;1.0;In Service;03 Dec 07
7;IMAGERY SENSOR TYPE;1-1;Individual;;1.0;In Service;03 Dec 07
8;SENSOR ASSET;1-20;Instructive;THE COMMON IDENTIFICATION OF THE SENSOR.;1.0;In Service;03 Dec 07
9;ORDNANCE SENSOR;1-68;Instructive;;1.0;In Service;03 Dec 07
10;ANTENNA TYPE;1-68;Instructive;;1.0;In Service;03 Dec 07
