FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;OPERATIONAL STATUS;3-8;Individual;;1.0;In Service;03 Dec 07
2;CURRENT OPERATIONAL BASE STATUS;3-3;Individual;;1.0;In Service;03 Dec 07
3;PROJECTED OPERATIONAL BASE STATUS;3-3;Individual;;1.0;In Service;03 Dec 07
4;DEMOLITION STATUS;3-3;Individual;;1.0;In Service;03 Dec 07
5;STATUS OF SYSTEM;3-6;Individual;;1.0;In Service;03 Dec 07
6;STATUS OF SECURITY SYSTEM;3-3;Individual;;1.0;In Service;03 Dec 07
7;LOGISTICAL SUSTAINABILITY OF UNIT;4-7;Individual;;1.0;In Service;03 Dec 07
8;BED STATUS;3-5;Individual;;1.0;In Service;03 Dec 07
9;SAW READINESS STATE;1-1;Individual;PROVIDES THE ABILITY TO SPECIFY READINESS STATE 0 TO READINESS STATE 9, IN LINE WITH DEFINITIONS PROVIDED BY "SHAPE STANDING DEFENCE PLAN (SDP) 10901D - ANGRY HASP" [NC] AND BY THE "COMAIRNORTH SUPPLAN 24600D CONSTANT EFFORT" FOR THE NORTHERN REGION INTEGRATED AIR DEFENCE SYSTEM (NRIADS), ANNEX H DATED 15 FEB 2000 [NC].;1.0;In Service;03 Dec 07
10;GATEWAY OPERATIONAL STATUS NUMBER ONE CODE;3-7;Individual;;1.0;In Service;03 Dec 07
11;GATEWAY OPERATIONAL STATUS NUMBER TWO CODE;3-7;Individual;;1.0;In Service;03 Dec 07
12;GATEWAY SECURITY STATUS;7-8;Individual;;1.0;In Service;03 Dec 07
13;STATUS OF ENEMY AIRCRAFT;5-5;Individual;THE OPERATIONAL STATUS OF ENEMY AIRCRAFT TO PERFORM ITS/THEIR MISSION. RELATED DOCUMENT: STANAG 5621. ;1.0;In Service;03 Dec 07
14;STATUS OF ENEMY UNIT;5-5;Individual;THE OPERATIONAL STATUS OF AN ENEMY UNIT TO PERFORM ITS MISSION. RELATED DOCUMENT: STANAG 5621 ;1.0;In Service;03 Dec 07
15;SENSOR WEAPON STATUS;3-3;Individual;;1.0;In Service;03 Dec 07
16;COMMITMENT STATUS;1-1;Individual;;1.0;In Service;03 Dec 07
17;OBSTACLE STATUS;3-3;Individual;;1.0;In Service;03 Dec 07
18;TASK STATUS;2-2;Individual;;1.0;In Service;03 Dec 07
19;FIRE UNIT STATUS;3-3;Individual;;1.0;In Service;03 Dec 07
20;OBSTACLE CHARACTERISTICS;3-3;Individual;;1.0;In Service;03 Dec 07
21;DEMOLITION TARGET READINESS STATUS;2-2;Individual;;1.0;In Service;03 Dec 07
22;PETROLEUM, OIL, LUBRICANT (POL) STATUS;3-3;Individual;;1.0;In Service;03 Dec 07
23;FULLY MANNED STATUS;7-7;Individual;;1.0;In Service;03 Dec 07
24;STATUS OF TARGET OPERABILITY;3-7;Individual;OPERATIONAL STATUS/CONDITION OF A TARGET. E.G. OPR, MOB.;1.0;In Service;03 Dec 07
25;STATUS OF TARGET SERVICEABILITY;3-7;Individual;THE SERVICEABILITY OF A TARGET. E.G. NORM, MOVE.;1.0;In Service;03 Dec 07
26;OPERATIONAL STATUS OF KEY POINT;3-7;Individual;DESCRIBES THE OPERATIONAL STATUS OF A KEY POINT.;1.0;In Service;03 Dec 07
27;AIR BASE STATUS;1-1;Individual;THE AIRBASE CAPABILITY TO SUPPORT ITS ASSIGNED OPERATIONS.;1.0;In Service;03 Dec 07
28;PLACE OPERATIONAL STATUS;1-3;Individual;INDICATES THE DEGREE TO WHICH A PLACE IS READY TO PERFORM THE OVERALL OPERATIONAL MISSION.;1.0;In Service;03 Dec 07
29;NEXT AIR BASE STATUS;1-1;Individual;THE NEXT CAPABILITY THE AIRBASE WILL HAVE TO SUPPORT ITS ASSIGNED MISSION.;1.0;In Service;03 Dec 07
30;UNIT OPERATIONAL READINESS STATUS;1-3;Individual;DEGREE TO WHICH AN ENTITY IS READY TO PERFORM THE OVERALL OPERATIONAL MISSION(S) FOR WHICH IT WAS ORGANISED AND EQUIPPED.;1.0;In Service;03 Dec 07
31;AIRCRAFT LAUNCH READINESS;2-3;Individual;PROVIDES THE AIRCRAFT READINESS.;1.0;In Service;03 Dec 07
34;UNIT OPERATIONAL STATUS;3-6;Individual;PROVIDES THE CODE FOR THE CURRENT OPERATIONAL STATUS OF THE REPORTING UNIT.;1.0;In Service;03 Dec 07
35;COMMAND AND CONTROL FUNCTION OPERATIONAL STATUS;3-6;Individual;PROVIDES THE CODE FOR THE CURRENT OPERATIONAL STATUS OF THE REPORTING UNIT.;1.0;In Service;03 Dec 07
37;SURFACE-TO-AIR WEAPONS OPERATIONAL STATUS;3-3;Individual;THE CAPABILITY OF A SURFACE-TO-AIR UNIT TO PERFORM THE MISSIONS OR FUNCTIONS FOR WHICH IT IS ORGANIZED OR DESIGNED, FROM RELEASED TO FULLY OPERATIONAL STATUS.;1.0;In Service;03 Dec 07
38;SURFACE-TO-AIR WEAPON READINESS LIMITING RESTRICTION;3-5;Individual;;1.0;In Service;03 Dec 07
