FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;DESIGNATION OF TELEPHONE NUMBER;1-20;Instructive;USED TO IDENTIFY A SPECIFIC TELEPHONE NUMBER, I.E. THE DEUTSCHE BUNDESPOST (DBP).;1.0;In Service;03 Dec 07
2;TELEPHONE NUMBER;1-23;Instructive;THE TELEPHONE NUMBER OF AN AGENCY OR ORGANIZATION.;1.0;In Service;03 Dec 07
3;NON-SECURE TELEPHONE;3-20;Instructive;THE DESIGNATED NON-SECURE TELEPHONE NUMBER OF AN INDIVIDUAL OR AGENCY TO BE CONTACTED.;1.0;In Service;03 Dec 07
4;SECURE TELEPHONE NUMBER;4-20;Instructive;THE DESIGNATED SECURE TELEPHONE NUMBER OF AN INDIVIDUAL OR AGENCY TO BE CONTACTED.;1.0;In Service;03 Dec 07
7;NON-SECURE FACSIMILE (FAX) NUMBER;3-20;Instructive;THE TELEPHONE NUMBER OF A NON-SECURE (UNCLASSIFIED) FAX;1.0;In Service;03 Dec 07
8;SECURE FACSIMILE (FAX) NUMBER;4-20;Instructive;THE TELEPHONE NUMBER OF A SECURE (CLASSIFIED) FAX.;1.0;In Service;03 Dec 07
9;TELEPHONE NUMBER, INDIVIDUAL;1-23;Instructive;THE TELEPHONE NUMBER OF THE INDIVIDUAL.;1.0;In Service;03 Dec 07
10;FAX NUMBER;1-23;Instructive;ACTUAL FAX NUMBER.;1.0;In Service;03 Dec 07
12;NON-SECURE TELEPHONE NUMBER, INTERNATIONAL;3-30;Instructive;;1.0;In Service;03 Dec 07
13;SECURE TELEPHONE NUMBER, INTERNATIONAL;3-30;Instructive;;1.0;In Service;03 Dec 07
14;NON-SECURE TACTICAL TELEPHONE NUMBER;4-25;Instructive;;1.0;In Service;03 Dec 07
15;SECURE TACTICAL TELEPHONE NUMBER;4-25;Instructive;;1.0;In Service;03 Dec 07
16;GATEWAY ACCESS PHONE NUMBER;2-20;Instructive;THE PHONE NUMBER TO GAIN ACCESS TO THE SADL GATEWAY.;1.0;In Service;03 Dec 07
