FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;NAME;1-54;Instructive;;1.0;In Service;03 Dec 07
2;REFERENCE POINT NAME;1-38;Instructive;SEE ATP 1, VOL 1, CHAPTER 2.;1.0;In Service;03 Dec 07
3;FIRST NAME;1-20;Instructive;;1.0;In Service;03 Dec 07
4;LOCATION NAME;1-20;Instructive;;1.0;In Service;03 Dec 07
5;AIRFIELD INSTALLATION NAME;1-30;Instructive;;1.0;In Service;03 Dec 07
6;LOCATION OR POSITION NAME;1-15;Instructive;;1.0;In Service;03 Dec 07
7;CONTACT NAME;1-20;Instructive;THE NAME OF THE PERSON TO BE CONTACTED.;1.0;In Service;03 Dec 07
8;REFERENCE POINT NAME, 12 CHARACTERS;1-12;Instructive;;1.0;In Service;03 Dec 07
9;AGENT NAME;1-4;Individual;GIVES THE NAME OF INDIVIDUAL NBC AGENTS.;1.0;In Service;03 Dec 07
10;RECOVERY LOCATION NAME;1-20;Instructive;;1.0;In Service;03 Dec 07
12;ORDER NAME;1-6;Instructive;;1.0;In Service;03 Dec 07
13;NAME, INDIVIDUAL;1-50;Instructive;IDENTIFICATION OF A SPECIFIC HUMAN BEING THROUGH A COMBINATION OF WORDS.;1.0;In Service;03 Dec 07
14;NAME OF LEADER;1-30;Instructive;;1.0;In Service;03 Dec 07
15;PORT OF REGISTRATION;1-18;Instructive;;1.0;In Service;03 Dec 07
16;OPERATIONS AREA NAME;1-20;Instructive;;1.0;In Service;03 Dec 07
18;POSITION OR POINT NAME;1-20;Instructive;;1.0;In Service;03 Dec 07
19;OVERLAY NAME;1-14;Instructive;A NAME USED TO IDENTIFY AN OVERLAY ASSOCIATED WITH A RECOGNIZED AIR, LAND OR MARITIME PICTURE.;1.0;In Service;03 Dec 07
20;NAME OF UPPER AIR SOUNDING SYSTEM;1-30;Instructive;THE NAME OF THE ENVIRONMENTAL MONITORING SYSTEM USED FOR TAKING UPPER AIR SOUNDING.;1.0;In Service;03 Dec 07
21;AIRSPACE COORDINATION AREA CODE NAME;3-12;Instructive;PROVIDES THE CODE NAME OF A PARTICULAR AIRSPACE COORDINATION AREA.;1.0;In Service;03 Dec 07
22;LOCATION OF EVENT, PLACE NAME;1-15;Instructive;;1.0;In Service;03 Dec 07
23;SHIP NAME OR AGENCY ASSUMING CONTROL;1-38;Instructive;;1.0;In Service;03 Dec 07
24;ORDNANCE WEAPON AMMUNITION TYPE NAME;1-30;Instructive;THE NAME OF AN ORDNANCE, WEAPON OR AMMUNITION.;1.0;In Service;03 Dec 07
