FUDN;Name;Size;Type;Explanation;Version;Status;Modified
3;NATO COMMAND DESIGNATOR;3-17;Individual;AS DEFINED BY MC 324 (FINAL) DATED 6 JANUARY 1999.;1.0;In Service;03 Dec 07
4;LINE DESIGNATOR;1-8;Instructive;;1.0;In Service;03 Dec 07
5;MISSION COMMANDER DESIGNATOR;2-2;Individual;THE CODE FOR THE COMMANDER RESPONSIBLE FOR MANAGING AND HARMONIZING THE EFFORTS OF TEMPORARILY ASSIGNED FORCES TO EXECUTE A SINGLE MISSION.;1.0;In Service;03 Dec 07
6;SOUNDING LINE DESIGNATOR;3-3;Alphanumeric;;1.0;In Service;03 Dec 07
7;FIXED POSITION LETTER DESIGNATOR;1-1;Alphanumeric;;1.0;In Service;03 Dec 07
8;REQUESTING TASKING AUTHORITY DESIGNATOR;3-17;Individual;AS DEFINED BY MC 324 (FINAL) DATED 6 JANUARY 1999.;1.0;In Service;03 Dec 07
9;BEACH DESIGNATOR;3-12;Individual;BEACH DESIGNATOR EXPRESSED IN LETTERS.;1.0;In Service;03 Dec 07
12;AIRSPACE CONTROL MEANS IDENTIFYING DESIGNATOR;1-5;Instructive;THE DESIGNATOR ASSIGNED TO THE AIRSPACE CONTROL APPLIED TO A DEFINED AIRSPACE.;1.0;In Service;03 Dec 07
13;RUNWAY DIRECTION DESIGNATOR;2-3;Alphanumeric;THE DESIGNATION OF THE RUNWAY ORIENTATION.;1.0;In Service;03 Dec 07
14;ACTION STRATEGIC COMMANDS;3-7;Individual;;1.0;In Service;03 Dec 07
15;REACTION FORCE DESIGNATOR;3-13;Individual;AS DEFINED BY MC 324 (FINAL) DATED 6 JANUARY 1999.;1.0;In Service;03 Dec 07
16;DATA LINK EMISSION DESIGNATOR;3-3;Individual;A STANDARD EMISSION DESIGNATOR CODE USED IN DATA LINK OPERATIONS.;1.0;In Service;03 Dec 07
17;MAXIMUM ALTITUDE DESIGNATOR;9-9;Individual;;1.0;In Service;03 Dec 07
18;LANDING ZONE DESIGNATOR;3-10;Instructive;A DESIGNATOR, NAME OR IDENTIFIER ASSIGNED TO A LANDING ZONE OR OTHER ZONE OF OPERATIONS.;1.0;In Service;03 Dec 07
19;CRAFT CONTROL POINT DESIGNATOR;3-15;Instructive;CRAFT CONTROL POINT DESIGNATOR.;1.0;In Service;03 Dec 07
20;LAUNCH AREA DESIGNATOR;3-10;Instructive;LAUNCH AREA DESIGNATOR.;1.0;In Service;03 Dec 07
21;CRAFT COLLECTION AREA DESIGNATOR;3-15;Instructive;CRAFT COLLECTION AREA DESIGNATOR.;1.0;In Service;03 Dec 07
22;CRAFT DEPARTURE POINT DESIGNATOR;3-15;Instructive;CRAFT DEPARTURE POINT DESIGNATOR.;1.0;In Service;03 Dec 07
23;CRAFT PENETRATION POINT DESIGNATOR;3-15;Instructive;PENETRATION POINT DESIGNATOR.;1.0;In Service;03 Dec 07
24;AREA DESIGNATOR;1-30;Instructive;PROVIDES THE DESIGNATOR FOR SPECIFIC AREA.;1.0;In Service;03 Dec 07
25;CONTACT DESIGNATOR;3-4;Instructive;A CODE USED TO DESIGNATE A CONTACT.;1.0;In Service;03 Dec 07
26;PLATFORM DESIGNATOR;3-4;Instructive;;1.0;In Service;03 Dec 07
27;TRANSIT POINT DESIGNATOR;1-30;Instructive;THE DESIGNATOR OF A TRANSIT POINT FOR THE ADVANCE FORCE MOVEMENT.;1.0;In Service;03 Dec 07
