FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;MESSAGE PART IDENTIFIER;1-2;Alphanumeric;;1.0;In Service;03 Dec 07
3;SERIAL LETTER;1-1;Alphanumeric;AN ALPHABETIC CHARACTER IDENTIFYING AN INDIVIDUAL COMMUNICATION.;1.0;In Service;03 Dec 07
4;SENSOR ID;1-10;Instructive;IDENTIFIER ASSIGNED BY OPERATIONS STAFF.;1.0;In Service;03 Dec 07
5;AEW BARRIER DESIGNATOR;1-2;Alphanumeric;;1.0;In Service;03 Dec 07
6;REFERENCE SET SERIAL LETTER;1-1;Alphanumeric;THE SERIAL LETTER IN FF-SQ 1 OF THE REFERENCE SET OF A FORMATTED MESSAGE.;1.0;In Service;03 Dec 07
9;STANDING REQUEST FOR INFORMATION IDENTIFIER;1-1;Individual;;1.0;In Service;03 Dec 07
10;REMARK IDENTIFICATION;1-2;Alphanumeric;;1.0;In Service;03 Dec 07
11;TRANSPORTATION REQUIREMENT IDENTIFIER;1-8;Instructive;THE NAME OR DESIGNATION USED TO IDENTIFY A NEED FOR TRANSPORTING MATERIALS AND EQUIPMENT.;1.0;In Service;03 Dec 07
12;PROJECT, REPORT OR MESSAGE IDENTIFIER;2-2;Alphanumeric;A UNIQUE 2-LETTER CODE GENERATED BY THE ORIGINATOR OF THE PROJECT, REPORT OR MESSAGE.;1.0;In Service;03 Dec 07
13;PRISONER OF WAR NATIONAL IDENTIFIER;1-10;Instructive;;1.0;In Service;03 Dec 07
14;BEACON ID LETTER;1-1;Alphanumeric;THE LETTER THAT IDENTIFIES THE BEACON BEING REPORTED.;1.0;In Service;03 Dec 07
16;AEW SORTIE NUMBER SERIAL IDENTIFIER;2-2;Alphanumeric;A SERIAL IDENTIFIER IN THE RANGE [AA, AB THROUGH ZZ], USED TO IDENTIFY AN AEW SORTIE NUMBER.;1.0;In Service;03 Dec 07
17;BARNSTORM SERIAL NUMBER;3-3;Integer;BARNSTORM SERIAL NUMBER.;1.0;In Service;03 Dec 07
18;SUBFORSUM SERIAL NUMBER;3-3;Integer;SUBMARINE FORCES SUMMARY MESSAGE SERIAL NUMBER.;1.0;In Service;03 Dec 07
