FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;PERSONNEL GENDER;4-6;Individual;SEX CLASSIFICATION OF PERSONNEL.;1.0;In Service;03 Dec 07
3;CASUALTY CATEGORY, STATE;4-7;Individual;;1.0;In Service;03 Dec 07
4;REFUGEES AND DISPLACED CIVILIANS;4-7;Individual;;1.0;In Service;03 Dec 07
5;CATEGORY OF SUPPORT PERSONNEL;1-20;Instructive;;1.0;In Service;03 Dec 07
6;PERSONNEL QUALIFICATION DESIGNATOR;3-6;Individual;;1.0;In Service;03 Dec 07
7;EMBARKED PERSONNEL CATEGORY;2-8;Individual;;1.0;In Service;03 Dec 07
8;SPECIAL GROUP PERSONNEL CATEGORY;3-4;Individual;;1.0;In Service;03 Dec 07
9;PERSONNEL CATEGORY AND GENDER;7-8;Individual;;1.0;In Service;03 Dec 07
10;PW GENDER AND RANK;7-8;Individual;TO IDENTIFY GENDER AND RANK OF A PERSON TAKEN AS A PRISONER OF WAR.;1.0;In Service;03 Dec 07
11;PERSONNEL TYPE;3-3;Individual;;1.0;In Service;03 Dec 07
12;STRENGTH TYPE;3-3;Individual;TYPE OF PERSONNEL MAKING-UP A UNIT. [STANAG 2438, AINTP-3];1.0;In Service;03 Dec 07
13;GENDER, ABBREVIATED;1-1;Individual;ABBREVIATED CODE EXPRESSING THE SEX OF AN INDIVIDUAL.;1.0;In Service;03 Dec 07
15;GENERAL PERSONNEL TYPE;3-3;Individual;;1.0;In Service;03 Dec 07
16;CASUALTY CATEGORY;3-3;Individual;;1.0;In Service;03 Dec 07
19;PW INTELLIGENCE CATEGORY;1-1;Individual;INDICATES THE ASSESSED INTELLIGENCE VALUE OF A PW IN ACCORDANCE WITH THE DEFINITIONS LAID DOWN IN STANAG 2033.;1.0;In Service;03 Dec 07
20;CATEGORY OF DIVING TEAM;1-1;Individual;;1.0;In Service;03 Dec 07
