FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;UNIT IDENTIFIER;1-20;Instructive;;1.0;In Service;03 Dec 07
2;UNIT IDENTIFIER OF AGENCY ASSUMING CONTROL;1-20;Instructive;;1.0;In Service;03 Dec 07
3;NEXT OF KIN BOOK HOLDER;1-20;Instructive;;1.0;In Service;03 Dec 07
4;PLANNED OPERATIONAL COMMAND;1-13;Instructive;;1.0;In Service;03 Dec 07
5;PLANNED OPERATIONAL CONTROL;1-13;Instructive;;1.0;In Service;03 Dec 07
6;NATIONAL PARENT IDENTIFIER;1-9;Instructive;;1.0;In Service;03 Dec 07
7;NATO PARENT IDENTIFIER;1-9;Instructive;;1.0;In Service;03 Dec 07
8;OPERATIONAL CONTROL AUTHORITY;1-20;Instructive;;1.0;In Service;03 Dec 07
9;OPERATIONAL COMMAND;1-20;Instructive;;1.0;In Service;03 Dec 07
10;TASKED UNIT;1-20;Instructive;;1.0;In Service;03 Dec 07
11;REQUESTING TASKING AUTHORITY;1-30;Instructive;NONE;1.0;In Service;03 Dec 07
12;TACTICAL CONTROL AUTHORITY;1-20;Instructive;A LISTING OF COMMAND AUTHORITY THAT IS CONTROLLING THE TACTICAL PORTION OF THE MISSION.;1.0;In Service;03 Dec 07
13;AIRLIFT REQUEST UNIT IDENTIFICATION;1-20;Instructive;;1.0;In Service;03 Dec 07
15;AIRLIFT COORDINATION UNIT IDENTIFICATION;1-20;Instructive;;1.0;In Service;03 Dec 07
16;REQUESTING UNIT IDENTIFIER;1-20;Instructive;;1.0;In Service;03 Dec 07
17;UNIT SUPPORTED;1-20;Instructive;;1.0;In Service;03 Dec 07
18;ENEMY UNIT DESIGNATOR;1-18;Instructive;;1.0;In Service;03 Dec 07
19;ORIGINATING UNIT IDENTIFIER;1-9;Instructive;;1.0;In Service;03 Dec 07
20;ENGAGEMENT AUTHORITY;1-22;Instructive;THE AUTHORITY RESPONSIBLE FOR TASKING THE ENGAGEMENT.;1.0;In Service;03 Dec 07
21;DESTINATION UNIT;1-38;Instructive;THE NAME OF THE UNIT FOR WHICH MATERIAL IS HELD FOR TRANSFER.;1.0;In Service;03 Dec 07
22;MILITARY COMMAND AUTHORITY;1-50;Instructive;;1.0;In Service;03 Dec 07
23;TACTICAL COMMAND AUTHORITY;1-20;Instructive;;1.0;In Service;03 Dec 07
24;SHORAD IFF ORIGINATING AUTHORITY;4-7;Individual;THE SHORAD ORIGINATING AUTHORITY. ;1.0;In Service;03 Dec 07
25;NATO UNDESIGNATED UNIT;5-5;Individual;A UNIT WHICH HAS NOT YET BEEN DESIGNATED BY A NATO ASSET.;1.0;In Service;03 Dec 07
26;UNIT DESIGNATION;1-35;Instructive;;1.0;In Service;03 Dec 07
27;UNIT DESIGNATION OF HIGHER ECHELON;1-35;Instructive;;1.0;In Service;03 Dec 07
28;FORMER WARSAW PACT AIR FORCES;3-3;Individual;;1.0;In Service;03 Dec 07
30;SUBORDINATE UNIT DESIGNATOR;1-30;Instructive;;1.0;In Service;03 Dec 07
31;UNIT IDENTIFICATION WITH OFFICE SYMBOL;1-20;Instructive;;1.0;In Service;03 Dec 07
32;GATEWAY CONTROLLING SIDE UNIT IDENTIFIER;1-20;Instructive;SEE STANAG 4211. ;1.0;In Service;03 Dec 07
33;GATEWAY REQUESTING UNIT IDENTIFIER;1-20;Instructive;THE IDENTIFICATION OF THE UNIT THAT REQUESTS ESTABLISHMENT OF A GATEWAY. ;1.0;In Service;03 Dec 07
34;GATEWAY RECEIVING UNIT IDENTIFIER;1-20;Instructive;THE UNIT TO WHICH A GATEWAY REQUEST IS DIRECTED. ;1.0;In Service;03 Dec 07
37;CONTROL UNIT DESIGNATOR;1-8;Instructive;;1.0;In Service;03 Dec 07
38;PACKAGE IDENTIFICATION;1-5;Instructive;THE ALPHANUMERIC IDENTIFIER THAT JOINS TWO OR MORE ELEMENTS OF COMPOSITE FORCE PACKAGE.;1.0;In Service;03 Dec 07
39;UNIT IDENTIFICATION CODE, SPECIFIC;1-6;Instructive;THE UNIQUE IDENTIFICATION OF A UNIT LEVEL ORGANIZATION.;1.0;In Service;03 Dec 07
40;TANKER UNIT REFERENCE NUMBER;8-8;Integer;A REFERENCE NUMBER USED BY THE AIR-TO-AIR-REFUELLING TANKER AIRCRAFT IN A VARIABLE MESSAGE FORMAT (VMF) INTERFACE TO UNIQUELY IDENTIFY THE TANKER AIRCRAFT.;1.0;In Service;03 Dec 07
41;TASKED UNIT NAME;1-30;Instructive;THE DESIGNATOR OF THE UNIT THAT IS TASKED TO PERFORM THE MISSION.;1.0;In Service;03 Dec 07
42;DELIVERY UNIT IDENTIFIER;1-24;Instructive;THE UNIT IDENTIFIER OF THE UNIT TO WHICH SOMETHING IS TO BE DELIVERED.;1.0;In Service;03 Dec 07
