FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;AZIMUTH OF FIRE IN MILS;4-4;Integer;;1.0;In Service;03 Dec 07
3;WIND DIRECTION IN MILS;4-4;Integer;;1.0;In Service;03 Dec 07
4;DOWNWIND DIRECTION IN MILS;4-4;Integer;THE VALUE OF 9999 CAN BE USED TO INDICATE A VARIABLE WIND DIRECTION.;1.0;In Service;03 Dec 07
5;DIRECTION OF MOVEMENT IN MILS;1-4;Integer;;1.0;In Service;03 Dec 07
6;AZIMUTH OF FIRE IN MILS FROM GRID NORTH;4-4;Integer;;1.0;In Service;03 Dec 07
7;LEFT TRAVERSE LIMIT, MILS;4-4;Integer;;1.0;In Service;03 Dec 07
8;RIGHT TRAVERSE LIMIT, MILS;4-4;Integer;;1.0;In Service;03 Dec 07
9;ATTITUDE IN MILS FROM GRID NORTH;4-4;Integer;;1.0;In Service;03 Dec 07
10;ANGLE TO CREST IN MILS POSITIVE OR NEGATIVE;1-5;Integer;AN POSITIVE OR NEGATIVE ANGLE IN MILS MEASURED RELATIVE TO AN ANGLE PERPENDICULAR TO THE EARTH'S GRAVITATIONAL FORCES AT THE LOCATION OF THE OBSERVER.;1.0;In Service;03 Dec 07
11;ANGLE T IN MILS;4-4;Integer;THE ANGLE FORMED FROM A WEAPON SYSTEM, TO A TARGET, TO AN OBSERVER.;1.0;In Service;03 Dec 07
12;DIRECTION OF SHELL GROOVE IN MILS;4-4;Integer;THE DIRECTION IN MILS MEASURED CLOCKWISE FROM THE POINT OF SHELL IMPACT TO ITS PLACE OF ORIGIN.;1.0;In Service;03 Dec 07
13;OBSERVER-FLASH SOUND AZIMUTH TO HOSTILE BATTERY IN MILS;4-4;Integer;THE DIRECTION IN MILS MEASURED CLOCKWISE FROM AN OBSERVER TO THE FLASH OR SOUND ASSOCIATED WITH FIRE SUPPORT OPERATIONS.;1.0;In Service;03 Dec 07
