FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;DAYS OF SUPPLY;1-4;Integer;;1.0;In Service;03 Dec 07
5;DAYS OF MEDICAL SUPPLY;1-1;Integer;;1.0;In Service;03 Dec 07
6;VICTUALLING STORES ENDURANCE IN DAYS;1-3;Integer;NUMBER OF DAYS VICTUALLING STORES CAN LAST WITH NORMAL CONSUMPTION.;1.0;In Service;03 Dec 07
7;MINEFIELD LIFE IN DAYS;1-3;Integer;;1.0;In Service;03 Dec 07
8;PLANNED SUSTAINED THREAT OF MINEFIELD IN DAYS;1-3;Integer;;1.0;In Service;03 Dec 07
10;EMERGENCY STORES ENDURANCE IN DAYS;1-3;Integer;NUMBER OF DAYS EMERGENCY STORES CAN LAST.;1.0;In Service;03 Dec 07
12;DURATION IN DAYS;2-2;Integer;;1.0;In Service;03 Dec 07
15;DAYS SUPPORT REQUESTED;1-1;Integer;;1.0;In Service;03 Dec 07
16;TIME PERIOD IN DAYS, 1 THROUGH 999;1-3;Integer;;1.0;In Service;03 Dec 07
17;RECCE DAYS PRIOR OK;1-2;Integer;THE NUMBER OF DAYS PRIOR TO THE CURRENT DAY THAT RECONNAISSANCE DATA IS ACCEPTABLE.;1.0;In Service;03 Dec 07
