FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;LOAD TYPE;3-6;Individual;;1.0;In Service;03 Dec 07
2;PERSONNEL INDICATOR;9-9;Individual;THE INDICATOR THAT PERSONNEL ARE TO BE TRANSFERRED DURING REPLENISHMENT AT SEA OPERATION.;1.0;In Service;03 Dec 07
3;PASSENGER CATEGORY;3-7;Individual;A CATEGORY OF PASSENGERS TO BE TRANSPORTED.;1.0;In Service;03 Dec 07
4;CARGO INDICATOR;3-3;Individual;;1.0;In Service;03 Dec 07
5;CARGO PERSONNEL ASSETS AFFECTED;3-4;Individual;;1.0;In Service;03 Dec 07
6;TYPE OF AIR CARGO;4-4;Individual;THE TYPE OF AIR CARGO.;1.0;In Service;03 Dec 07
7;TYPE OF HEAVIEST AIR CARGO;4-4;Individual;THE TYPE OF HEAVIEST AIR CARGO.;1.0;In Service;03 Dec 07
8;TYPE OF LARGEST AIR CARGO;4-4;Individual;THE TYPE OF LARGEST AIR CARGO.;1.0;In Service;03 Dec 07
9;GENERAL CARGO CATEGORY;4-6;Individual;;1.0;In Service;03 Dec 07
10;GENERAL LOAD INDICATOR;3-6;Individual;;1.0;In Service;03 Dec 07
11;HELICOPTER LOAD;3-6;Individual;;1.0;In Service;03 Dec 07
12;TYPE OF DRUG CARGO;3-3;Individual;;1.0;In Service;03 Dec 07
13;LOAD OF HEAVIEST VEHICLE;3-6;Individual;;1.0;In Service;03 Dec 07
14;LANDING CARGO TYPE;4-4;Individual;THE TYPE OF CARGO TO BE LOADED ON A LANDING CRAFT.;1.0;In Service;03 Dec 07
15;CARGO TYPE, GENERIC;3-7;Instructive;;1.0;In Service;03 Dec 07
