FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;AFFIRMATIVE OR NEGATIVE INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
2;ASSISTANCE REQUIRED INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
3;CHEMICAL OR BIOLOGICAL HAZARD PRESENCE INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
4;CORDON AROUND UXO INDICATOR;2-3;Individual;UXO MEANS UNEXPLODED ORDNANCE.;1.0;In Service;03 Dec 07
5;ACKNOWLEDGE REQUIREMENT INDICATOR;2-3;Individual;EG :YES; NO .;1.0;In Service;03 Dec 07
6;SAR ASSISTANCE REQUIREMENT INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
7;IMAGERY CONFIRMATION;2-3;Individual;;1.0;In Service;03 Dec 07
8;MISSION ABORT CASUALTY INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
9;SCUBA TANK RECHARGE CAPABILITY;2-3;Individual;;1.0;In Service;03 Dec 07
22;HELICOPTER UNDERSLUNG FREIGHT INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
23;CAPABILITY TO COMPLETE TASK INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
24;MINES PRESENT INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
25;ORDER BY THE DEMOLITION GUARD COMMANDER INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
26;DEMOLITION GUARD PRESENCE INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
27;FIRE DEMOLITION IF ENEMY IN ACT OF CAPTURING TARGET;2-3;Individual;;1.0;In Service;03 Dec 07
28;RECEPTION AREAS INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
29;EVACUATION ROUTES INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
30;COMTECHREP TYPE B REQUIRED;2-3;Individual;COMTECHREP MEANS COMPREHENSIVE TECHNICAL REPORT.;1.0;In Service;03 Dec 07
31;VISIBLE WIRES INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
32;WARNING GIVEN INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
33;SECONDARY HAZARD PRESENCE INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
34;WITNESSES AVAILABLE INDICATOR;2-3;Individual;;1.0;In Service;03 Dec 07
