FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;PHONETIC ALPHABETIC IDENTIFIER;4-8;Individual;;1.0;In Service;03 Dec 07
3;PHONETIC NUMERIC IDENTIFIER;3-5;Individual;;1.0;In Service;03 Dec 07
4;EMISSION CONTROL PLAN DESIGNATION;4-14;Instructive;;1.0;In Service;03 Dec 07
6;APPROACH CORRIDOR IDENTIFIER;3-5;Individual;;1.0;In Service;03 Dec 07
7;PHONETIC ALPHABETIC OR NUMERIC IDENTIFIER;3-8;Individual;;1.0;In Service;03 Dec 07
8;EMISSION CONTROL PLAN IDENTIFIER;1-8;Instructive;;1.0;In Service;03 Dec 07
9;AREA PHONETIC NUMERIC IDENTIFIER;3-5;Individual;;1.0;In Service;03 Dec 07
10;AREA PHONETIC ALPHABETIC IDENTIFIER;4-8;Individual;;1.0;In Service;03 Dec 07
11;EMISSION CONTROL PLAN PHONETIC IDENTIFIER;4-8;Individual;;1.0;In Service;03 Dec 07
12;SUPPLY SHIP STATION NUMBER;3-12;Individual;SUPPLY SHIP STATION DESIGNATOR (NUMBER) PHONETICALLY SPELLED.;1.0;In Service;03 Dec 07
13;SECTOR NUMBER ALPHABETIC;4-8;Individual;;1.0;In Service;03 Dec 07
14;COLUMN DESIGNATOR;4-8;Individual;;1.0;In Service;03 Dec 07
17;AUTHENTICATION POLICY IN PHONETIC ALPHABETICS;4-8;Individual;A PHONETIC ALPHABETIC USED TO IDENTIFY THE AUTHENTICATION.;1.0;In Service;03 Dec 07
18;PHONETIC NUMERIC IDENTIFIER ONE TO NINE;3-5;Individual;;1.0;In Service;03 Dec 07
19;LINE IDENTIFIER;4-8;Individual;THE ALPHABETIC PHONETIC IDENTIFIER ASSIGNED TO A LINE IN AN ANTI-JAM COMPLAN.;1.0;In Service;03 Dec 07
21;STATION NUMBER, ALPHABETIC;3-9;Individual;THE NUMERAL DESIGNATOR OF THE CUSTOMER SHIP REPLENISHMENT TRANSFER STATION WHERE THE SPECIFIED CARGO IS REQUIRED.;1.0;In Service;03 Dec 07
22;COLUMN IDENTIFIER, OLD;3-5;Individual;THE CURRENT COLUMN IDENTIFIER IN THE ANTIJAM PLAN, FOR EXAMPLE: "EIGHT".;1.0;In Service;03 Dec 07
23;COLUMN IDENTIFIER, NEW;3-5;Individual;THE NEW COLUMN IDENTIFIER FOR THE ANTIJAM PLAN FOR EXAMPLE: "THREE".;1.0;In Service;03 Dec 07
