FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;LOCATION TYPE;2-8;Individual;;1.0;In Service;03 Dec 07
2;COMMAND POST HEADQUARTERS LOCATION TYPE;2-6;Individual;;1.0;In Service;03 Dec 07
3;ESM LOCATION TYPE;3-3;Individual;THE TYPE OF ELECTRONIC SUPPORT MEASURES LOCATION.;1.0;In Service;03 Dec 07
4;MISSION LOCATION TYPE;2-6;Individual;;1.0;In Service;03 Dec 07
5;AIRBORNE EARLY WARNING SURVEILLANCE AREA TYPE;3-3;Individual;THE ENVIRONMENT IN WHICH THE AEW MISSION IS TAKING PLACE.;1.0;In Service;03 Dec 07
6;REQUEST LOCATION;4-8;Individual;;1.0;In Service;03 Dec 07
7;AIRLIFT MISSION LOCATION TYPE;6-7;Individual;THE DESIGNATION OF THE TYPE OF AIRLIFT MISSION LOCATION.;1.0;In Service;03 Dec 07
8;AIRLIFT ENROUTE LOCATION TYPE;6-6;Individual;THE DESIGNATION OF THE TYPE OF AIRLIFT ENROUTE LOCATION.;1.0;In Service;03 Dec 07
9;CONTROL OR COORDINATION LINE TYPE;2-5;Individual;THE TYPE OF CONTROL OR COORDINATION MEASURE USED TO FACILITATE COMMAND AND CONTROL FUNCTIONS OF OPERATIONAL UNITS. USED FOR GRAPHIC DISPLAYS AND OVERLAYS.;1.0;In Service;03 Dec 07
11;EVACUATION LOCATION TYPE;2-8;Individual;;1.0;In Service;03 Dec 07
12;BATTLEFIELD GEOMETRY TYPE;2-5;Individual;;1.0;In Service;03 Dec 07
13;ROUTE POINT TYPE;2-3;Individual;A SPECIFIC TYPE OF ROUTE POINT, CHARACTERISED BY THE ACTION TO TAKE PLACE AT THAT POINT.;1.0;In Service;03 Dec 07
14;MINEFIELD TYPE;2-2;Individual;;1.0;In Service;03 Dec 07
15;ENGINEER LOCATION TYPE;6-8;Individual;;1.0;In Service;03 Dec 07
16;ORDER LOCATION TYPE;2-7;Individual;;1.0;In Service;03 Dec 07
17;AREA TYPE;2-10;Instructive;;1.0;In Service;03 Dec 07
18;WSM AREA TYPE;3-4;Individual;WATERSPACE MANAGEMENT AREA TYPE.;1.0;In Service;03 Dec 07
20;DESIGNATED AREA TYPE;2-7;Individual;;1.0;In Service;03 Dec 07
21;TARGET AREA FUNCTIONAL TYPE;3-4;Individual;;1.0;In Service;03 Dec 07
22;WATERSPACE MANAGEMENT AREA TYPE;3-6;Individual;;1.0;In Service;03 Dec 07
25;VERTREP LOCATION TYPE;9-13;Individual;THE TYPE OF VERTICAL REPLENISHMENT LOCATION.;1.0;In Service;03 Dec 07
