FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;LINK 16 TERMINAL TEST MODE;5-6;Individual;;1.0;In Service;03 Dec 07
3;LINK 16 COMMUNICATIONS MODE;6-6;Individual;;1.0;In Service;03 Dec 07
4;LINK 16 RANGE MODE;3-3;Individual;;1.0;In Service;03 Dec 07
5;INTERFERENCE PROTECTION FEATURE OVERRIDE;3-6;Individual;THE INTERFERENCE PROTECTION FEATURE (IPF) OVERRIDE.;1.0;In Service;03 Dec 07
10;INTERFACE UNIT CONNECTIVITY TYPE;3-3;Individual;;1.0;In Service;03 Dec 07
11;SATELLITE OFFSET INDICATOR;1-2;Integer;THE NUMBER TO BE SET/INDICATED ON THE OFFSET SWITCH OF A SATELLITE DATA LINK TERMINAL EQUIPMENT.;1.0;In Service;03 Dec 07
13;TRACK QUALITY LOST TRACK SUBTRACTION PARAMETER;1-2;Integer;;1.0;In Service;03 Dec 07
14;LINK 11 NET SPEED SETTING;4-5;Individual;THE LINK 11 NET SPEED SETTING APPLIED TO DATA LINK TERMINAL EQUIPMENT.;1.0;In Service;03 Dec 07
15;SYSTEM SETTINGS;3-12;Individual;THE CORRELATION/DECORRELATION SYSTEM SETTINGS ARE AUTO DEFAULT, AUTO SET OR MANUAL.;1.0;In Service;03 Dec 07
17;WINDOW SIZE MULTIPLIER;3-3;Decimal;THE CORRELATION WINDOW SIZE MULTIPLIER TO STRETCH OR REDUCE THE WINDOW SIZE.;1.0;In Service;03 Dec 07
18;MINIMUM WINDOW SIZE IN DATA MILES;3-4;Decimal;THE NUMBER ADDED TO THE BASIC WINDOW CALCULATED FROM TRACK QUALITIES, TO ENSURE THAT WINDOWS ARE NOT SO SMALL AS TO PREVENT VALID CORRELATIONS.;1.0;In Service;03 Dec 07
19;MINIMUM TRACK QUALITY;1-1;Integer;THE NUMBER TO PREVENT CORRELATION WINDOWS FROM BEING UNREALISTICALLY LARGE.;1.0;In Service;03 Dec 07
20;MAXIMUM TRACK QUALITY;1-2;Integer;THE NUMBER TO PREVENT CORRELATION WINDOWS FROM BEING UNREALISTICALLY SMALL BECAUSE VERY HIGH TQS ARE USED.;1.0;In Service;03 Dec 07
21;RESTRICTED TRACK QUALITY;1-1;Integer;A LOWER NUMBER IF IT APPEARS THAT TOO MANY DUALS INVOLVING LOW TRACK QUALITY (TQ) TRACKS ARE OCCURRING.;1.0;In Service;03 Dec 07
22;COURSE DIFFERENTIAL IN DEGREES;2-2;Alphanumeric;THE DEGREES OF MAXIMUM DIFFERENCE BETWEEN THE REPORTED COURSE OF THE REMOTE TRACK AND THE CALCULATED;1.0;In Service;03 Dec 07
23;SPEED DIFFERENTIAL;2-3;Alphanumeric;THE MAXIMUM PERCENTAGE BY WHICH THE SPEED OF THE FASTER TRACK MAY DIFFER FROM THE SPEED OF THE SLOWER TRACK.;1.0;In Service;03 Dec 07
24;ALTITUDE DIFFERENTIAL IN HUNDREDS OF FEET;2-3;Alphanumeric;THE MAXIMUM ALTITUDE DIFFERENCE BETWEEN TWO AIR TRACKS.;1.0;In Service;03 Dec 07
25;MINIMUM GEODETIC POSITION QUALITY;1-1;Integer;THE NUMBER USED FOR MINIMUM GEODETIC POSITION QUALITY.;1.0;In Service;03 Dec 07
26;MAXIMUM GEODETIC POSITION QUALITY;1-2;Integer;THE NUMBER USED FOR MAXIMUM GEODETIC POSITION QUALITY.;1.0;In Service;03 Dec 07
27;DECORRELATION WINDOW MULTIPLIER;3-3;Decimal;THE DISTANCE BETWEEN THE COMMON AND REMOTE TRACK IS TO EXCEED THE APPLICABLE CORRELATION WINDOW FOR THE TWO TRACKS IN ORDER TO BE DECORRELATED.;1.0;In Service;03 Dec 07
28;CONSECUTIVE DECORRELATIONS;1-1;Integer;THE NUMBER OF CONSECUTIVE REMOTE TRACK REPORTS THAT MUST MEET THE DECORRELATION CRITERIA BEFORE THE DECORRELATION IS EXECUTED.;1.0;In Service;03 Dec 07
29;CURRENT CRYPTO PERIOD DESIGNATOR (CCPD);1-1;Integer;;1.0;In Service;03 Dec 07
30;SATELLITE EXTENDED TIME OUT FRAMES;2-3;Integer;THE EXTENDED TIME OUT FRAMES FOR SATELLITE LINK 11 OPERATIONS.;1.0;In Service;03 Dec 07
