FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;COMMENTS;1-68;Instructive;;1.0;In Service;03 Dec 07
2;MISSION DESIGNATOR COMMENTS;1-15;Instructive;;1.0;In Service;03 Dec 07
3;EXPLANATION;1-67;Instructive;;1.0;In Service;03 Dec 07
4;GATEWAY SPECIAL FACILITY REQUIREMENT COMMENT TEXT;1-68;Instructive;;1.0;In Service;03 Dec 07
5;ADDITIONAL JAMMING COMMENTS;1-68;Instructive;;1.0;In Service;03 Dec 07
6;TYPE OF RESPONSE OR REACTION;1-67;Instructive;;1.0;In Service;03 Dec 07
7;INSTRUCTIONS FOR ACKNOWLEDGING;1-50;Instructive;;1.0;In Service;03 Dec 07
8;MISSION LOCATION COMMENT;1-22;Instructive;;1.0;In Service;03 Dec 07
9;SAR MISSION REPORT COMMENT;1-10;Instructive;;1.0;In Service;03 Dec 07
10;OTHER SAR UNIT COMMENTS;1-14;Instructive;;1.0;In Service;03 Dec 07
11;TIME AMPLIFICATION COMMENT;1-11;Instructive;;1.0;In Service;03 Dec 07
12;WEATHER COMMENTS;1-10;Instructive;;1.0;In Service;03 Dec 07
13;ROE CONSTRAINTS;1-62;Instructive;;1.0;In Service;03 Dec 07
14;RECOMMENDATIONS;1-30;Instructive;;1.0;In Service;03 Dec 07
15;LIMITATIONS;1-30;Instructive;;1.0;In Service;03 Dec 07
16;AIRCRAFT LIMITATIONS;1-67;Instructive;;1.0;In Service;03 Dec 07
17;DESCRIPTION OF SUPPLIES;1-68;Instructive;;1.0;In Service;03 Dec 07
18;SHORTFALLS PERSONNEL;1-40;Instructive;A SHORT DESCRIPTION OF WHY THERE ARE SHORTAGES OF A PARTICULAR PERSONNEL TYPE.;1.0;In Service;03 Dec 07
19;REASONS;1-29;Instructive;;1.0;In Service;03 Dec 07
20;REQUEST DESCRIPTION;1-68;Instructive;A BRIEF DESCRIPTION OF THE REQUEST FOR ASSISTANCE CONTAINED IN A REFERENCED MESSAGE.;1.0;In Service;03 Dec 07
21;REQUEST STATUS COMMENT;1-38;Instructive;;1.0;In Service;03 Dec 07
22;ROUTE COMMENT;1-10;Instructive;ADDITIONAL INFORMATION ABOUT THE ROUTE.;1.0;In Service;03 Dec 07
23;ADDITIONAL TARGET IDENTIFICATION FEATURES;1-20;Instructive;;1.0;In Service;03 Dec 07
24;DETAILS OF OPERATIONAL EFFECT;1-68;Instructive;;1.0;In Service;03 Dec 07
25;MODE 3 COMMENTS;1-30;Instructive;AMPLIFYING OR SPECIAL INFORMATION ON MODE 3 DATA FOR THE TRACK BEING REPORTED.;1.0;In Service;03 Dec 07
26;STATUS OF AIRCREW;1-68;Instructive;A BRIEF DESCRIPTION OF WHAT HAPPENED TO THE CREW ASSOCIATED WITH A CAPTURED AIRCRAFT.;1.0;In Service;03 Dec 07
27;CIRCUMSTANCES OF CAPTURE;1-68;Instructive;GIVES A LITERAL DESCRIPTION OF THE CIRCUMSTANCES SURROUNDING THE CAPTURE OF THE DOCUMENT.;1.0;In Service;03 Dec 07
28;REMARKS;1-68;Instructive;ENABLES ADDITIONAL TEXT TO BE ATTACHED TO THE FIELDS IT REFERS TO.;1.0;In Service;03 Dec 07
29;COLUMN ROUTE DETAILS;1-68;Instructive;PROVIDES COLUMN/ROUTE DETAILS FOR A ROAD MOVEMENT.;1.0;In Service;03 Dec 07
30;LIMITING FACTORS REMARKS;1-68;Instructive;;1.0;In Service;03 Dec 07
31;STATUS OF PASSENGERS;1-68;Instructive;DESCRIBES IN FREE TEXT THE STATUS OF PASSENGERS, FOR EXAMPLE PHYSICAL CONDITION, DISEASES DETECTED, PHYSCOLOGICAL CONDITION ETC.;1.0;In Service;03 Dec 07
33;COMMENTS, 1-20 CHARACTERS;1-20;Instructive;GENERIC COMMENTS, REMARKS OR DESCRIPTIONS UP TO A MAXIMUM OF 20 CHARACTERS.;1.0;In Service;03 Dec 07
34;SURVEILLANCE SYSTEM COMMENTS;1-30;Instructive;AMPLIFYING OR SPECIAL INFORMATION ON SYSTEM M DATA FOR THE TRACK BEING REPORTED;1.0;In Service;03 Dec 07
35;WEAPON CONTROL ANCILLARY INFORMATION;1-68;Instructive;PROVIDE ANCILLARY INFORMATION FOR WEAPON CONTROL.;1.0;In Service;03 Dec 07
36;LINE 1 COMMENT;1-60;Instructive;A SHORT COMMENT IN LINE 1 REGARDING THE ASSOCIATED CONTACT IN MCCIS.;1.0;In Service;03 Dec 07
37;LINE 2 COMMENT;1-60;Instructive;A SHORT COMMENT IN LINE 2 REGARDING THE ASSOCIATED CONTACT IN MCCIS.;1.0;In Service;03 Dec 07
38;LINE 3 COMMENT;1-60;Instructive;A SHORT COMMENT IN LINE 3 REGARDING THE ASSOCIATED CONTACT IN MCCIS.;1.0;In Service;03 Dec 07
39;LINE 4 COMMENT;1-60;Instructive;A SHORT COMMENT IN LINE 4 REGARDING THE ASSOCIATED CONTACT IN MCCIS.;1.0;In Service;03 Dec 07
