FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;GEOGRAPHICAL ENTITY;2-2;Individual;THE DISTINGUISHING LETTERS INCLUDED IN GEOGRAPHICAL ENTITIES SHALL BE USED WHENEVER IT IS NECESSARY TO USE ABBREVIATIONS IN PUBLICATIONS, DOCUMENTS, ORDERS OR OTHER MEDIA, TO IDENTIFY GEOGRAPHICAL ENTITIES, NATIONS OR ANY PART OF COUNTRIES FORCES (STANAG 1059, PARA 2).;1.0;In Service;03 Dec 07
2;NATIONALITY;2-2;Individual;;1.0;In Service;03 Dec 07
3;FLAG;2-2;Individual;;1.0;In Service;03 Dec 07
4;RELOCATION COUNTRY;2-2;Individual;;1.0;In Service;03 Dec 07
6;ORIGINATING COUNTRY OF TERMINAL EQUIPMENT;2-2;Individual;;1.0;In Service;03 Dec 07
7;ALTERNATE RELOCATION COUNTRY;2-2;Individual;;1.0;In Service;03 Dec 07
13;COUNTRY OF BIRTH;2-2;Individual;THE COUNTRY IN WHICH THE PERSON BEING REPORTED WAS BORN.;1.0;In Service;03 Dec 07
16;GEOGRAPHIC ENTITIES, NOTIONAL AND ACTUAL;2-2;Individual;;1.0;In Service;03 Dec 07
17;ALLEGIANCE;2-2;Individual;COUNTRY TO WHICH A PERSON, UNIT, OR PLACE OWES THEIR OR ITS ALLEGIANCE. [REF: STANAG 2438, 2439, 2440, AINTP-3];1.0;In Service;03 Dec 07
18;COUNTRY;2-2;Individual;;1.0;In Service;03 Dec 07
19;COUNTRY OF ORIGIN;2-2;Individual;;1.0;In Service;03 Dec 07
21;PRODUCTION COUNTRY;2-2;Individual;IDENTIFIES THE COUNTRY IN WHICH THE EQUIPMENT WAS MANUFACTURED.;1.0;In Service;03 Dec 07
22;ITEM COUNTRY CODE;2-2;Individual;THIS IS THE COUNTRY THAT THE MATERIAL IS EITHER BEING IMPORTED FROM OR EXPORTED TO.;1.0;In Service;03 Dec 07
23;COUNTRY PROVIDING FOREIGN TECHNOLOGY;2-2;Individual;INDICATES THE COUNTRY THAT PROVIDES FOREIGN TECHNOLOGY TO A PRODUCTION FACILITY.;1.0;In Service;03 Dec 07
24;NATIONAL IDENTIFICATION CODE;2-2;Individual;;1.0;In Service;03 Dec 07
25;ALTERNATE ALLEGIANCE;2-2;Individual;THE COUNTRY OR POLITICAL ENTITY TO WHICH THE ENTITY ALSO OWES ALLEGIANCE, POSSIBLY IN CONFLICT WITH OR IN ADDITION TO THE PRIME OR FIRST ALLEGIANCE.;1.0;In Service;03 Dec 07
27;ORIGINATION COUNTRY;2-2;Individual;;1.0;In Service;03 Dec 07
28;DESTINATION COUNTRY;2-2;Individual;;1.0;In Service;03 Dec 07
29;START POINT COUNTRY;2-2;Individual;IDENTIFIES THE COUNTRY WHERE THE ROUTE START POINT IS LOCATED.;1.0;In Service;03 Dec 07
30;RELEASE POINT COUNTRY;2-2;Individual;IDENTIFIES THE COUNTRY WHERE THE ROUTE RELEASE POINT IS LOCATED.;1.0;In Service;03 Dec 07
31;CONTROL CROSSING POINT COUNTRY;2-2;Individual;IDENTIFIES THE COUNTRY WHERE THE ROUTE CONTROL/CROSSING POINT IS LOCATED.;1.0;In Service;03 Dec 07
32;HALT POINT COUNTRY;2-2;Individual;IDENTIFIES THE COUNTRY WHERE THE ROUTE HALT POINT IS LOCATED.;1.0;In Service;03 Dec 07
33;NATIONALITY OF BROADCAST, TWO LETTER CODE;2-2;Individual;;1.0;In Service;03 Dec 07
34;COUNTRY OF EMITTER;2-2;Individual;THE 2-LETTER COUNTRY CODE FOR THE NATION TO WHICH THE DESIGNATED EMITTER BELONGS (STANAG 1059, PARA 2).;1.0;In Service;03 Dec 07
