FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;ACTIVITY TYPE;1-8;Individual;;1.0;In Service;03 Dec 07
2;MISSION TYPE;1-3;Individual;;1.0;In Service;03 Dec 07
3;HOSTILE ACTIVITY;3-8;Individual;;1.0;In Service;03 Dec 07
4;RECOVERY OR EVACUATION REQUIREMENT;4-10;Individual;;1.0;In Service;03 Dec 07
5;EVACUATION MEASURES;2-2;Individual;;1.0;In Service;03 Dec 07
6;MARITIME ACTIVITY TYPE;10-13;Individual;;1.0;In Service;03 Dec 07
7;THEME;1-20;Instructive;A DESCRIPTION, IN FREE TEXT IN PLAIN LANGUAGE OR CODES, OF THE OVERRIDING INTENT OF A PARTICULAR ACTIVITY.;1.0;In Service;03 Dec 07
8;TYPE OF ACTIVITY;1-8;Individual;;1.0;In Service;03 Dec 07
9;ENEMY ACTIVITY TYPE;2-8;Individual;;1.0;In Service;03 Dec 07
10;ACTIVITY TYPE, LITERAL;1-13;Instructive;;1.0;In Service;03 Dec 07
11;TYPE OF AIR REFUELLING RENDEZVOUS;7-10;Individual;;1.0;In Service;03 Dec 07
12;AIRCRAFT ACTIVITY;3-6;Individual;DATA ITEMS FOR FUDN 012 CONTAINED IN AD 80-50 ANNEX I, AND MARREP.;1.0;In Service;03 Dec 07
13;ANTI-AIR WARFARE FUNCTIONAL ACTIVITY;6-8;Individual;;1.0;In Service;03 Dec 07
14;TYPE OF SCREEN;5-19;Individual;THE NAME OR CODE OF A SPECIFIC TYPE OF SCREEN OR DISPOSITION USED IN MARITIME OPERATIONS.;1.0;In Service;03 Dec 07
15;TARGET ACTIVITY DESCRIPTION;1-20;Instructive;;1.0;In Service;03 Dec 07
16;PLACE ACTIVITY;1-3;Individual;DESCRIPTION OF THE ACTIVITY OCCURRING AT A PLACE, INSTALLATION OR FACILITY. REF: STANAG 2439, AINTP-3.;1.0;In Service;03 Dec 07
17;ACTIVITY TYPE, LITERAL EXPANDED;1-38;Instructive;;1.0;In Service;03 Dec 07
18;AIRCRAFT REPOSITION ACTIVITY;2-5;Individual;THE ACTIVITY PERFORMED TO REPOSITION AIRCRAFT.;1.0;In Service;03 Dec 07
19;RENDEZVOUS BREAKUP ACTIVITY TYPE;3-3;Individual;;1.0;In Service;03 Dec 07
20;ASW TASK;3-10;Individual;DEFINES THE ASW OPERATION THAT THE UNIT IS ENGAGED ON.;1.0;In Service;03 Dec 07
21;SIGHTING ACTIVITY TYPE;2-6;Individual;A DESCRIPTION OF REPORTED ACTIVITY OBSERVED DURING TASKED MISSION, CODED.;1.0;In Service;03 Dec 07
