FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;DESCRIPTION;1-20;Instructive;FOR EXAMPLES OF TYPICAL ENTRIES TO BE ASSOCIATED WITH FUDS 001 THROUGH 004, SEE ATP-27 AND ATP-34.;1.0;In Service;03 Dec 07
2;CONTROL POINT DESCRIPTION;1-20;Instructive;;1.0;In Service;03 Dec 07
3;MARKER DESCRIPTION;1-20;Instructive;;1.0;In Service;03 Dec 07
4;TARGET DESCRIPTION;1-20;Instructive;;1.0;In Service;03 Dec 07
5;IFF EFFECTIVE AREA DESCRIPTION;5-20;Instructive;THE DESCRIPTION OF THE IFF EFFECTIVE AREA.;1.0;In Service;03 Dec 07
6;TARGET AREA DESCRIPTION;1-20;Instructive;;1.0;In Service;03 Dec 07
7;TARGET ELEMENT DESCRIPTION;1-20;Instructive;;1.0;In Service;03 Dec 07
9;GEOGRAPHIC AREA DESCRIPTION;1-38;Instructive;USED TO DESCRIBE A GEOGRAPHIC AREA IN PLAIN TEXT; IE FULDA GAP, NORTHERN AREA OR AUSTRALIA.;1.0;In Service;03 Dec 07
10;ITEM DESCRIPTION;1-16;Instructive;;1.0;In Service;03 Dec 07
11;HELICOPTER TASK DESCRIPTION;1-20;Instructive;A LITERAL DESCRIPTION OF THE TASK THE HELICOPTER IS TO PERFORM. IE. "RESUPPLY" OR "TROOP LIFT".;1.0;In Service;03 Dec 07
12;ENVELOPE OR PACKAGE DESCRIPTION;1-30;Instructive;;1.0;In Service;03 Dec 07
13;SUSPICIOUS DESCRIPTION;1-30;Instructive;;1.0;In Service;03 Dec 07
14;LOCATION MARKING METHOD;1-15;Instructive;;1.0;In Service;03 Dec 07
15;NAVIGATION AID DESCRIPTION;1-30;Instructive;;1.0;In Service;03 Dec 07
16;SUPPORT DESCRIPTION;1-30;Instructive;;1.0;In Service;03 Dec 07
17;SPECIAL TRACK NUMBER DESCRIPTION;1-40;Instructive;;1.0;In Service;03 Dec 07
18;EMPLOYMENT DESCRIPTION;1-20;Instructive;A LITERAL DESCRIPTION OF THE EMPLOYMENT OF A PERSON, SYSTEM OR ARTICLE.;1.0;In Service;03 Dec 07
19;INITIAL POINT DESCRIPTION;1-38;Instructive;THE DESCRIPTION OF THE INITIAL POINT.;1.0;In Service;03 Dec 07
20;MICKEY NET CONTROLLER;1-15;Instructive;;1.0;In Service;03 Dec 07
21;VERTREP LOCATION;1-40;Instructive;THE LOCATION TO BE USED FOR VERTREP OPERATIONS.;1.0;In Service;03 Dec 07
22;AIRCRAFT TASK OR MISSION DESCRIPTION;1-30;Instructive;A LITERAL DESCRIPTION OF A SPECIFIC AIRCRAFT TASK OR MISSION.;1.0;In Service;03 Dec 07
23;CIRCUIT USE DESCRIPTION;1-20;Instructive;A DESCRIPTION OF A PARTICULAR USAGE OF A COMMUNICATIONS CIRCUIT.;1.0;In Service;03 Dec 07
24;EVENT DESCRIPTION;1-45;Instructive;A LITERAL DESCRIPTION OF AN EVENT.;1.0;In Service;03 Dec 07
25;OVERLAY DESCRIPTION;1-30;Instructive;A SHORT DESCRIPTION OF THE OVERLAY ASSOCIATED WITH A RECOGNIZED AIR, LAND OR MARITIME PICTURE.;1.0;In Service;03 Dec 07
26;DESCRIPTION OF TONE RECEIVED;1-30;Instructive;A PLAIN WORDS DESRIPTION OF THE TONE RECEIVED BY THE INTERCEPTING EQUIPMENT.;1.0;In Service;03 Dec 07
27;DESCRIPTION OF SIGNALS JAMMED;1-30;Instructive;A PLAIN LANGUAGE DESCRIPTION OF JAMMED SIGNALS.;1.0;In Service;03 Dec 07
28;DESCRIPTION OF ENEMY COUNTERTACTICS;1-38;Instructive;A PLAIN DESCRIPTION OF THE COUNTERTACTICS USED BY THE ENEMY.;1.0;In Service;03 Dec 07
29;DESCRIPTION OF FRIENDLY COUNTERTACTICS;1-38;Instructive;A DESCRIPTION OF THE COUNTERTACTICS USED.;1.0;In Service;03 Dec 07
30;DESCRIPTION OF COUNTERMEASURES TAKEN;1-38;Instructive;A DESCRIPTION OF THE COUNTERMEASURES USED.;1.0;In Service;03 Dec 07
31;DESCRIPTION OF SPECIFIC ACTIVITY;1-25;Instructive;THE DESCRIPTION OF A SPECIFIC ACTIVITY SIGHTED DURING MISSION OPERATIONS.;1.0;In Service;03 Dec 07
32;DESCRIPTION OF ELEMENT OBJECTS;1-25;Instructive;THE DESCRIPTION OF ELEMENT OBJECTS SIGHTED DURING MISSION OPERATIONS.;1.0;In Service;03 Dec 07
36;DESCRIPTION OF CAMOUFLAGE EMPLOYED;1-20;Instructive;;1.0;In Service;03 Dec 07
37;DESCRIPTION OF DECEPTION EMPLOYED;1-20;Instructive;;1.0;In Service;03 Dec 07
38;DESCRIPTION OF MOVEMENT PATTERN;1-20;Instructive;TYPE OF MOVEMENT PATTERN OF EG. A TARGET;1.0;In Service;03 Dec 07
39;KEYPOINT DESCRIPTION;1-30;Instructive;A CONCENTRATED SITE OR INSTALLATION, DESTRUCTION OF WHICH IS SIGNIFICANT TO THE SUCCESS OF AN OPERATION.;1.0;In Service;03 Dec 07
40;DESCRIPTION OF WAVE TYPE;1-15;Instructive;A LITERAL DESCRIPTION OF WAVE TYPE, EG. CRESTING;1.0;In Service;03 Dec 07
