FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;DOWNWIND DIRECTION IN DEGREES;3-3;Integer;THE VALUE OF 999 CAN BE USED TO INDICATE A VARIABLE WIND DIRECTION.;1.0;In Service;03 Dec 07
3;WIND DIRECTION IN DEGREES;3-5;Instructive;;1.0;In Service;03 Dec 07
4;THREAT ANGLE;1-3;Integer;THE ZONE ANGLE IN DEGREES ON EITHER SIDE OF THE THREAT DIRECTION.;1.0;In Service;03 Dec 07
9;DIRECTION OF MOVEMENT IN DEGREES;3-3;Integer;EG :230;1.0;In Service;03 Dec 07
10;COURSE IN DEGREES;3-3;Integer;EG :150;1.0;In Service;03 Dec 07
12;ANGLE EITHER SIDE OF AXIS;1-3;Integer;EG :5; 55;1.0;In Service;03 Dec 07
14;SECTOR LIMIT START;3-3;Integer;;1.0;In Service;03 Dec 07
15;SECTOR LIMIT END;3-3;Integer;;1.0;In Service;03 Dec 07
16;SECTOR WIDTH;1-3;Integer;EG :9; 09; 99;1.0;In Service;03 Dec 07
17;LEFT AREA BOUNDARY IN DEGREES;3-3;Integer;THE LEFT HAND BEARING LIMIT OF A SECTOR;1.0;In Service;03 Dec 07
18;RIGHT AREA BOUNDARY IN DEGREES;3-3;Integer;THE RIGHT HAND BEARING LIMIT OF A SECTOR;1.0;In Service;03 Dec 07
20;ZONE ANGLE IN DEGREES;3-3;Integer;THE ANGLE ON EITHER SIDE OF AN AXIS OR CENTER BEARING THAT DESCRIBES A ZONE THE SHAPE OF A PIECE OF PIE.;1.0;In Service;03 Dec 07
21;WAVE BREAKER ANGLE;1-2;Integer;DESCRIBES THE ACUTE ANGLE, IN DEGREES, FORMED BETWEEN THE BREAKER LINES AND THE SHORELINE.;1.0;In Service;03 Dec 07
24;APPROACH ANGLE IN DEGREES;1-2;Integer;THE APPROACH ANGLE IN DEGREES.;1.0;In Service;03 Dec 07
25;EXIT ANGLE IN DEGREES;1-2;Integer;THE EXIT ANGLE IN DEGREES.;1.0;In Service;03 Dec 07
26;DIVE ANGLE OF ATTACK;1-2;Integer;THE DIVE ANGLE OF ATTACK AT TIME OF RELEASE MEASURED IN DEGREES (0 DEGREES IS LEVEL FLIGHT AND 90 DEGREES IS STRAIGHT DOWN).;1.0;In Service;03 Dec 07
27;IMPACT AZIMUTH;3-5;Instructive;THE IMPACT AZIMUTH OF THE SPECIFIED WEAPON.;1.0;In Service;03 Dec 07
