FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;EW CONFIDENCE LEVEL;1-1;Individual;.;1.0;In Service;03 Dec 07
3;TRACK CONFIDENCE LEVEL;1-1;Individual;;1.0;In Service;03 Dec 07
4;EW CREDIBILITY;3-4;Individual;;1.0;In Service;03 Dec 07
5;SUBMARINE CLASSIFICATION CONFIDENCE LEVEL;4-5;Individual;THE IDENTIFICATION AND PROBABLE ACCURACY OF THE IDENTIFICATION OF THE MARITIME CONTACT BEING REPORTED.;1.0;In Service;03 Dec 07
6;ASSURANCE LEVEL OF RESULTS;3-4;Individual;;1.0;In Service;03 Dec 07
7;ELNOT CONFIDENCE;1-2;Integer;NUMERIC VALUE BETWEEN BETWEEN 1 (LOW) AND 10 (HIGH) INDICATING THE CONFIDENCE THAT AN OBSERVED SIGNAL AND AN ELECTRONIC NOTATION (ELNOT) HAVE BEEN CORRECTLY ASSOCIATED. ;1.0;In Service;03 Dec 07
8;ELEVATION CONFIDENCE LEVEL;2-2;Integer;THE CONFIDENCE LEVEL, EXPRESSED AS A PERCENTAGE (00 TO 99) , THAT A SPECIFIC ELEVATION HAS BEEN VERTICALLY POSITIONED TO WITHIN A SPECIFIED VERTICAL ACCURACY.;1.0;In Service;03 Dec 07
9;ELEVATION MSL CONFIDENCE LEVEL;2-2;Integer;INDICATES THE CONFIDENCE LEVEL, EXPRESSED AS A PERCENTAGE, THAT A SPECIFIC GEOMETRIC SPATIAL ELEMENT, ELEVATION MEAN SEA LEVEL (MSL) LINEAR ACCURACY, HAS BEEN VERTICALLY POSITIONED TO WITHIN A SPECIFIED VERTICAL ACCURACY.;1.0;In Service;03 Dec 07
10;COORDINATES RADIUS OF ACCURACY CONFIDENCE LEVEL;2-2;Integer;;1.0;In Service;03 Dec 07
11;ELECTRONIC ATTACK CONFIDENCE LEVEL;1-4;Individual;THE LEVEL OF CERTAINTY IN ELECTRONIC ATTACK INFORMATION REPORTED.;1.0;In Service;03 Dec 07
12;ELECTRONIC PROTECTION CONFIDENCE LEVEL;1-1;Individual;THE LEVEL OF CERTAINTY IN ELECTRONIC PROTECTION INFORMATION REPORTED.;1.0;In Service;03 Dec 07
13;ELECTRONIC PROTECTION CREDIBILITY;3-4;Individual;THE LEVEL OF CREDIBILITY OF ELECTRONIC PROTECTION INFORMATION REPORTED.;1.0;In Service;03 Dec 07
14;RADAR WARNING RECEIVER CONFIDENCE;3-5;Individual;THE CREDIBILITY OF RADAR WARNING RECEIVER INDICATIONS.;1.0;In Service;03 Dec 07
