FUDN;Name;Size;Type;Explanation;Version;Status;Modified
2;NUMBER OF AIRCRAFT INVOLVED;1-3;Integer;;1.0;In Service;03 Dec 07
3;NUMBER OF AIRCRAFT, 00-99;2-2;Integer;;1.0;In Service;03 Dec 07
4;NUMBER OF AIR DEFENCE AIRCRAFT REMAINING;3-3;Integer;;1.0;In Service;03 Dec 07
5;TOTAL NUMBER AIR DEFENCE AIRCRAFT LOST;3-3;Integer;;1.0;In Service;03 Dec 07
6;NUMBER OF ATTACK AIRCRAFT REMAINING;3-3;Integer;;1.0;In Service;03 Dec 07
7;TOTAL NUMBER OF ATTACK AIRCRAFT LOST;3-3;Integer;;1.0;In Service;03 Dec 07
8;NUMBER OF AIRCRAFT AVAILABLE;1-3;Integer;;1.0;In Service;03 Dec 07
9;NUMBER OF DEFENCE SUPPRESSION AIRCRAFT REMAINING;3-3;Integer;;1.0;In Service;03 Dec 07
10;TOTAL NUMBER OF AIRCRAFT LOST;3-3;Integer;;1.0;In Service;03 Dec 07
11;NUMBER OF DUAL CAPABLE AIRCRAFT REMAINING;3-3;Integer;;1.0;In Service;03 Dec 07
12;NUMBER OF AIR DEFENCE WEAPON SYSTEMS AVAILABLE;3-3;Integer;;1.0;In Service;03 Dec 07
13;NUMBER OF ATTACK SYSTEMS AVAILABLE FOR COMBAT;3-3;Integer;;1.0;In Service;03 Dec 07
14;NUMBER OF EW SUPPORT AIRCRAFT REMAINING;3-3;Integer;;1.0;In Service;03 Dec 07
15;NUMBER OF DUAL CAPABLE WEAPON SYSTEMS COMBAT READY;3-3;Integer;;1.0;In Service;03 Dec 07
16;NUMBER OF DUAL CAPABLE WEAPON SYSTEMS COMMITTED TO STRIKE;3-3;Integer;;1.0;In Service;03 Dec 07
17;NUMBER OF AIRCRAFT LOST OR DESTROYED;1-3;Integer;;1.0;In Service;03 Dec 07
18;NUMBER OF EW SUPPORTED WEAPON SYSTEMS COMBAT READY;3-3;Integer;;1.0;In Service;03 Dec 07
19;NUMBER OF MARITIME PATROL ACFT WEAPON SYSTEMS COMBAT READY;3-3;Integer;;1.0;In Service;03 Dec 07
20;NUMBER OF AIRCRAFT PER EVENT;2-2;Integer;;1.0;In Service;03 Dec 07
21;NUMBER OF RECONNAISSANCE WEAPON SYSTEMS COMBAT READY;3-3;Integer;;1.0;In Service;03 Dec 07
22;NUMBER OF SPECIAL ECM WEAPON SYSTEMS COMBAT READY;3-3;Integer;;1.0;In Service;03 Dec 07
23;NUMBER OF MARITIME PATROL AIRCRAFT REMAINING;3-3;Integer;;1.0;In Service;03 Dec 07
24;NUMBER OF RECONNAISSANCE AIRCRAFT REMAINING;3-3;Integer;;1.0;In Service;03 Dec 07
25;NUMBER OF DEFENCE SUPPRESSION WEAPON SYSTEMS COMBAT READY;3-3;Integer;;1.0;In Service;03 Dec 07
26;NUMBER OF SPECIAL ECM AIRCRAFT REMAINING;3-3;Integer;;1.0;In Service;03 Dec 07
27;TOTAL NUMBER OF ECM AIRCRAFT LOST;3-3;Integer;;1.0;In Service;03 Dec 07
28;NUMBER OF STRIKE ONLY AIRCRAFT REMAINING;3-3;Integer;;1.0;In Service;03 Dec 07
29;NUMBER OF AIRCRAFT BY ROLE AT START OF PERIOD;1-4;Integer;;1.0;In Service;03 Dec 07
