FUDN;Name;Size;Type;Explanation;Version;Status;Modified
1;CAUSE OR REASON;1-30;Instructive;;1.0;In Service;03 Dec 07
2;MISCELLANEOUS REASON;3-7;Individual;;1.0;In Service;03 Dec 07
3;WEATHER REASON;3-3;Instructive;;1.0;In Service;03 Dec 07
4;EMCON REASON;3-3;Instructive;EMCON = EMISSION CONTROL PROCEDURE;1.0;In Service;03 Dec 07
5;SPECIAL REASON RELATED TO MOVEMENT NOTIFICATION;3-3;Instructive;;1.0;In Service;03 Dec 07
6;SPECIAL REASON RELATED TO RELEASED STATUS;3-3;Instructive;;1.0;In Service;03 Dec 07
7;HOSTILE ACTION;3-4;Instructive;;1.0;In Service;03 Dec 07
8;REASON SORTIE(S) ABORTED;3-7;Individual;;1.0;In Service;03 Dec 07
9;CAUSE OF FAILURE;1-68;Instructive;IN THE CONTEXT OF CAPTURED EQUIPMENT REPORTING THIS FIELD GIVES THE REASON WHY AN EQUIPMENT COULD BE CAPTURED.;1.0;In Service;03 Dec 07
10;REASON NOT ISSUABLE;1-30;Instructive;;1.0;In Service;03 Dec 07
11;REASON MISSION ABORTED;3-7;Instructive;THE REASON THAT CAUSED A SCHEDULED MISSION NOT TO HAVE BEEN EXECUTED.;1.0;In Service;03 Dec 07
12;NON RELEASE REASON;2-5;Individual;THE REASON ORDNANCE WAS NOT RELEASED ON TASKED TARGET.;1.0;In Service;03 Dec 07
13;MISSED TARGET REASON;1-30;Instructive;THE REASON TASKED TARGET WAS MISSED AFTER ORDNANCE RELEASE.;1.0;In Service;03 Dec 07
14;REASON FOR JETTISON;1-30;Instructive;;1.0;In Service;03 Dec 07
15;REASON AIRCRAFT ABORTED;3-7;Individual;;1.0;In Service;03 Dec 07
