FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;SHIP ID;;;1A;SHIP IDENTIFICATION;;2021;4-14;M
2;SHIP CLASS;;;2A;SHIP CLASS NAME;;1022/227;1-54;M
3;SHIP START POSITION;;;3A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;M
4;SHIP START TIME;;;4A;DTG OF START;;2033;10-14;M
;SHIP START TIME;;;4B;DAY-TIME AND MONTH OF START;;2030;;
5;SHIP END POSITION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;12-22;O
6;SHIP STOP TIME;;;6A;DTG OF STOP;;2033;10-14;C
;SHIP STOP TIME;;;6B;DAY-TIME AND MONTH OF STOP;;2030;;
7;COORDINATED AIR/SEA PROCEDURE CATEGORY;;;7A;COORDINATED AIR SEA PROCEDURE CATEGORY;;1814/1;1-1;M
8;DTG OF START OF CASP DUTIES;;;8A;DTG OF START;;2033;14-14;M
9;DTG OF STOP OF CASP DUTIES;;;9A;DTG OF STOP;;2033;14-14;M
10;UNIT REMARKS;;;10A;REMARKS;;1357/28;1-68;O
