FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MISSION NUMBER;;;1A;MISSION NUMBER;;1012/69;1-8;M
2;ACTIVITY TYPE;;;2A;ACTIVITY TYPE;;1299/1;1-8;O
3;TIME DESIGNATOR ACTIVITY TYPE;;;3A;TIME DESIGNATOR;;1144/3;3-6;C
4;RELATIVE TIME ACTIVITY TYPE;;;4A;RELATIVE TIME (HOUR-MINUTE);;2014;4-7;O
;RELATIVE TIME ACTIVITY TYPE;;;4B;DAY-TIME OF ACTIVITY;;2000;;
5;TYPE OF ACTIVITY;;;5A;TYPE OF ACTIVITY;;1299/8;1-8;O
6;TIME DESIGNATOR TYPE OF ACTIVITY;;;6A;TIME DESIGNATOR;;1144/3;3-6;C
7;RELATIVE TIME TYPE OF ACTIVITY;;;7A;RELATIVE TIME (HOUR-MINUTE);;2014;4-7;O
;RELATIVE TIME TYPE OF ACTIVITY;;;7B;DAY-TIME OF ACTIVITY;;2000;;
8;TIME AMPLIFICATION COMMENT;;;8A;TIME AMPLIFICATION COMMENT;;1357/11;1-11;O
