FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT PROVIDING HELICOPTERS;;;1A;UNIT PROVIDING HELICOPTERS;;1022/121;1-38;M
2;NUMBER OF HELICOPTERS;;;2A;QUANTITY OF HELICOPTERS PROVIDED;;1044/46;1-1;M
3;VERTREP HELICOPTER TYPE;;;3A;VERTICAL REPLENISHMENT HELICOPTER, OTHERS;;1015/7;1-20;M
4;TYPE/INDICATOR AND QUANTITY OF CARGO OR PERSONNEL;;;4A;TYPE AND QUANTITY OF CARGO;;2450;9-48;M
;TYPE/INDICATOR AND QUANTITY OF CARGO OR PERSONNEL;;;4B;PERSONNEL INDICATOR AND QUANTITY;;2502;;
5;UNIT PROVIDING CARGO OR PERSONNEL;;;5A;UNIT PROVIDING CARGO OR PERSONNEL;;1022/153;1-38;M
6;RECEIVING UNIT NAME;;;6A;RECEIVING UNIT NAME;;1022/304;1-38;M
7;HELO CONTROL UNIT;;;7A;HELICOPTER CONTROL UNIT;;1022/179;1-38;M
8;EMERGENCY LANDING PROVISION;;;8A;EMERGENCY LANDING PROVISION;;1022/182;1-38;O
9;UNIT PROVIDING FUEL;;;9A;UNIT PROVIDING FUEL;;1022/188;1-38;O
10;EMPTY CONTAINER RECOVERY;;;10A;EMPTY CONTAINER RECOVERY;;1941/1;1-68;O
