FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATION NAME;;;1A;UNIT DESIGNATION NAME;;1022/39;1-15;M
2;VERIFIED UNIT SIZE INDICATOR;;;2A;VERIFIED UNIT SIZE INDICATOR;;2392;2-8;M
3;VERIFIED NATIONALITY;;;3A;VERIFIED NATIONALITY;;2082;3-3;M
4;VERIFIED UNIT ROLE INDICATOR CODE 'A';;;4A;VERIFIED UNIT ROLE INDICATOR CODE 'A';;2393;3-7;M
5;VERIFIED UNIT ROLE INDICATOR CODE 'B';;;5A;VERIFIED UNIT ROLE INDICATOR CODE 'B';;2394;3-7;M
6;VERIFIED UNIT ROLE INDICATOR CODE 'C';;;6A;VERIFIED UNIT ROLE INDICATOR CODE 'C';;2395;3-7;M
7;VERIFIED UNIT ROLE INDICATOR CODE 'D';;;7A;VERIFIED UNIT ROLE INDICATOR CODE 'D';;2396;3-7;M
8;VERIFIED HIGHER FORMATION NAME;;;8A;VERIFIED HIGHER FORMATION NAME;;2397;2-16;M
9;VERIFIED ARMED SERVICE;;;9A;VERIFIED ARMED SERVICE;;2071;2-2;M
10;UNIDENTIFIED OR UNKNOWN ENEMY UNITS;;;10A;UNIDENTIFIED ENEMY UNIT ADDRESSING NUMBER;;2150;5-7;C
;UNIDENTIFIED OR UNKNOWN ENEMY UNITS;;;10B;UNKNOWN ENEMY UNIT ADDRESSING NUMBER;;2151;;
