FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATION NAME;;;1A;UNIT DESIGNATION NAME;;1022/39;1-15;M
2;UNIT SIZE INDICATOR;;;2A;UNIT SIZE INDICATOR;;1045/4;1-7;M
3;GEOGRAPHICAL ENTITY;;;3A;GEOGRAPHICAL ENTITY;;1026/1;2-2;M
4;UNIT ROLE INDICATOR CODE 'A';;;4A;UNIT ROLE INDICATOR CODE A;;1311/2;2-6;M
5;UNIT ROLE INDICATOR CODE 'B';;;5A;UNIT ROLE INDICATOR CODE B;;1311/3;2-6;M
6;UNIT ROLE INDICATOR CODE 'C';;;6A;UNIT ROLE INDICATOR CODE C;;1311/4;2-6;M
7;UNIT ROLE INDICATOR CODE 'D';;;7A;UNIT ROLE INDICATOR CODE D;;1311/5;2-6;M
8;HIGHER FORMATION NAME;;;8A;HIGHER FORMATION NAME;;1022/40;1-15;M
9;ARMED SERVICE OR CIVILIAN AGENCY CODE;;;9A;ARMED SERVICE;;1107/1;1-8;M
;ARMED SERVICE OR CIVILIAN AGENCY CODE;;;9B;CIVILIAN AGENCY CODE;;1507/1;;
10;UNIT IDENTIFICATION CODE (UIC);;;10A;UNIT IDENTIFICATION CODE (UIC);;2141;7-9;C
