FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;REPORTABLE ITEM CODE;;;1A;REPORTABLE ITEM CODE (EXPANDED);;1281/2;6-15;M
2;SHORT TITLE;;;2A;SHORT TITLE (EXPANDED);;1022/302;3-15;M
3;UNIT OF MEASUREMENT;;;3A;UNIT OF MEASUREMENT, STOCK ITEM;;1008/51;1-3;M
4;REQUIRED TOTAL;;;4A;REQUIRED TOTAL;;1853/2;1-16;M
5;REQUIRED ON-HAND;;;5A;REQUIRED ON HAND;;1853/3;1-16;M
6;ACTUAL ON HAND;;;6A;ACTUAL ON HAND;;1853/6;1-16;M
7;TOTAL DUE IN;;;7A;TOTAL DUE IN;;1853/4;1-16;M
8;TOTAL DUE OUT;;;8A;TOTAL DUE OUT;;1853/5;1-16;M
9;REQUIRED STOCKS CALCULATION;;;9A;REQUIRED STOCKS CALCULATION METHOD;;1568/2;3-3;O
10;LIMITING FACTORS/REMARKS;;;10A;LIMITING FACTORS REMARKS;;1357/30;1-68;O
