FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;AEW REQUEST IDENTIFIER;;;1A;AEW REQUEST IDENTIFIER;;1012/17;1-13;M
2;AEW MISSION ENVIRONMENT;;;2A;AEW MISSION ENVIRONMENT;;1285/4;1-1;M
3;PRIORITY IDENTIFIER;;;3A;PRIORITY IDENTIFIER;;1076/20;2-2;M
4;AEW MISSION TYPE;;;4A;AEW MISSION TYPE;;1285/7;1-2;M
5;LOCATION NAME;;;5A;LOCATION NAME;;1022/4;1-20;M
6;ON STATION TIME;;;6A;DTG ON STATION;;2033;9-14;M
;ON STATION TIME;;;6B;DATE ON STATION;;2001;;
7;OFF STATION TIME;;;7A;DTG OFF STATION;;2033;9-14;M
;OFF STATION TIME;;;7B;DATE OFF STATION;;2001;;
8;TACTICAL CONTROL AUTHORITY;;;8A;TACTICAL CONTROL AUTHORITY;;1028/12;1-20;M
