FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;LINE REFERENCE NUMBER;;;1A;LINE REFERENCE NUMBER;;1348/3;2-2;M
2;CONSIGNEE;;;2A;CONSIGNEE, ARMED SERVICE;;1107/3;1-10;M
;CONSIGNEE;;;2B;CONSIGNEE;;1022/178;;
3;STOWAGE CATEGORY;;;3A;STOWAGE CATEGORY;;1189/1;4-5;M
4;LOAD TYPE;;;4A;LOAD TYPE;;1173/1;3-6;M
5;NUMBER OF PIECES OF CARGO;;;5A;NUMBER OF PIECES OF CARGO;;1044/272;1-4;M
6;CARGO CONTAINER TYPE;;;6A;CARGO CONTAINER TYPE;;1190/2;2-6;M
7;CARGO WEIGHT IN METRIC TONS;;;7A;CARGO WEIGHT IN METRIC TONS;;1050/6;1-5;M
8;CARGO VOLUME IN CUBIC METRES;;;8A;CARGO VOLUME IN CUBIC METRES;;1063/6;1-5;M
9;CARGO WEIGHT IN LONG TONS;;;9A;CARGO WEIGHT IN LONG TONS;;1167/2;1-5;O
10;CARGO VOLUME IN MEASUREMENT TONS;;;10A;CARGO VOLUME IN MEASUREMENT TONS;;1168/2;1-5;O
11;CARGO EXCEEDS SHIP BOOM CAPACITY INDICATOR;;;11A;CARGO EXCEEDS SHIP BOOM CAPACITY INDICATOR;;1359/20;1-1;O
12;STOWAGE LOCATION;;;12A;STOWAGE LOCATION;;2057;3-3;C
