FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CONTACT NUMBER;;;1A;LINK 11 11B TRACK NUMBER;DLRN;1625/19;4-5;M
;CONTACT NUMBER;;;1B;COMMON NATO TRACK NUMBER;NTN;1625/5;;
;CONTACT NUMBER;;;1C;UNDEFINED LINK 16 TRACK NUMBER REFERENCE;SRN;1625/29;;
2;AIRCRAFT TYPE;;;2A;AIRCRAFT BY TYPE, MODEL OR CODE;ACTYP;1015/20;2-10;M
;AIRCRAFT TYPE;;;2B;AIRCRAFT TYPE AND MODEL, OTHER;OTHAC;1015/18;;
3;CREDIBILITY;;;3A;CREDIBILITY;;1461/1;3-4;M
4;NUMBER OF AIRCRAFT;;;4A;NUMBER OF AIRCRAFT, 1-99;;1044/322;1-2;M
5;ALTITUDE IN FEET OR FLIGHT LEVEL;;;5A;ALTITUDE, HUNDREDS OF FEET;ALT;1255/14;3-5;M
;ALTITUDE IN FEET OR FLIGHT LEVEL;;;5B;FLIGHT LEVEL;;2129;;
6;COUNTRY;;;6A;COUNTRY;;1026/18;2-2;O
