FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NATIONALITY;;;1A;NATIONALITY;;1026/2;2-2;M
2;NAVAL VESSEL TYPE;;;2A;NAVAL VESSEL TYPE;;1166/3;2-5;M
3;UNIT NAME;;;3A;UNIT;;1022/57;1-30;M
4;INTERNATIONAL RADIO CALL SIGN;;;4A;INTERNATIONAL RADIO CALL SIGN;;1129/3;4-8;M
5;VESSEL LENGTH;;;5A;SHIP LENGTH, METRES;;2387;2-6;M
6;VESSEL DRAFT;;;6A;VESSEL DRAFT, METRES;;2348;2-6;M
7;MASTHEAD HEIGHT;;;7A;MASTHEAD HEIGHT IN FEET OR METRES;;2478;2-8;M
8;MAXIMUM SPEED;;;8A;MAXIMUM SPEED, KNOTS;;2265;4-7;M
9;CAVITATION INCEPTION SPEED;;;9A;CAVITATION SPEED, KNOTS;;2265;4-7;C
10;FUEL CAPACITY;;;10A;FUEL CAPACITY, CUBIC METRES;;2386;4-15;C
11;FUEL REMAINING;;;11A;FUEL REMAINING, CUBIC METRES;;2386;4-15;C
12;FUEL CONSUMPTION PER DAY AT 15 KNOTS;;;12A;FUEL CONSUMPTION PER DAY AT 15 KNOTS, CUBIC METRES;;2386;4-15;C
13;FUEL CONSUMPTION PER DAY AT 25 KNOTS;;;13A;FUEL CONSUMPTION PER DAY AT 25 KNOTS, CUBIC METRES;;2386;4-15;C
14;MINIMUM ACCEPTABLE PERCENTAGE OF REMAINING FUEL;;;14A;MINIMUM ACCEPTABLE PERCENTAGE OF REMAINING FUEL;;1064/57;1-2;C
