FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;OVERALL BRIDGE LENGTH (FEET, YARDS OR METRES);;;1A;OVERALL BRIDGE LENGTH (FEET, YARDS OR METRES);;2454;2-7;M
2;ORIENTATION, INTERCARDINAL;;;2A;ORIENTATION, INTERCARDINAL;;1161/9;1-2;M
3;MILITARY LOAD CLASSIFICATION;;;3A;MILITARY LOAD CLASSIFICATION;;1253/1;1-3;M
4;NUMBER OF SPANS;;;4A;NUMBER OF SPANS;;1044/349;1-2;M
5;NUMBER OF THE SPAN BEING REPORTED ON;;;5A;NUMBER OF THE SPAN BEING REPORTED ON;;1012/335;1-2;M*
6;MATERIAL USED IN CONSTRUCTION;;;6A;MATERIAL USED IN CONSTRUCTION;;1592/15;3-6;M*
7;SPAN TYPE;;;7A;SPAN TYPE;;1790/1;3-5;M*
8;INDIVIDUAL SPAN LENGTH;;;8A;INDIVIDUAL SPAN LENGTH;;2454;2-7;M*
9;UNDER BRIDGE CLEARANCE;;;9A;UNDER BRIDGE CLEARANCE;;2452;2-7;M*
10;SPAN DAMAGE;;;10A;SPAN DAMAGE;;1854/2;4-5;M*
