FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;FILTER IDENTIFIER NUMBER;;;1A;FILTER IDENTIFIER NUMBER;;2503;2-6;M
2;FILTER REGION;;;2A;FILTER REGION;;1627/3;3-18;M
;FILTER REGION;;;2B;FILTER REGION RANGE;RNG;1627/4;;
3;AREA FILTER STATUS;;;3A;AREA FILTER STATUS;;1584/3;5-6;O
4;POSITION DESIGNATOR;;;4A;ATP-1 POSITION DESIGNATOR;APD;1612/1;1-30;C
;POSITION DESIGNATOR;;;4B;UNIT;UNIT;1022/57;;
;POSITION DESIGNATOR;;;4C;PLACE NAME;PLACE;1022/170;;
5;ENVIRONMENTAL CATEGORY FILTER;;;5A;ENVIRONMENTAL CATEGORY FILTER;;1628/3;2-2;C
6;IDENTIFICATION FILTER;;;6A;IDENTIFICATION FILTER;;1628/4;2-2;C
7;SPECIAL FILTER;;;7A;SPECIAL FILTER;;1628/5;2-2;O
