FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;NUMBER AND TYPE OF HEAVIEST VEHICLE;;;1A;NUMBER AND TYPE OF HEAVIEST VEHICLE;;2510;3-35;M
2;LOAD OF HEAVIEST VEHICLE;;;2A;LOAD OF HEAVIEST VEHICLE;;1173/13;3-6;M
3;MILITARY LOAD CLASSIFICATION (TRACKED);;;3A;MILITARY LOAD CLASSIFICATION (TRACKED);MLCT;1253/6;1-3;M
4;MILITARY LOAD CLASSIFICATION (WHEELED);;;4A;MILITARY LOAD CLASSIFICATION (WHEELED);MLCW;1253/7;1-3;M
5;MAXIMUM PERMITTED TOTAL WEIGHT OF HEAVIEST WHEELED VEHICLE;;;5A;MAXIMUM PERMITTED TOTAL WEIGHT OF HEAVIEST WHEELED VEHICLE;MAXWEIW;1050/12;1-2;M
6;MAXIMUM PERMITTED TOTAL WEIGHT OF HEAVIEST TRACKED VEHICLE;;;6A;MAXIMUM PERMITTED TOTAL WEIGHT OF HEAVIEST TRACKED VEHICLE;MAXWEIT;1050/13;1-2;M
7;MAXIMUM WIDTH OF WIDEST VEHICLE IN CENTIMETRES;;;7A;MAXIMUM WIDTH OF WIDEST VEHICLE IN CENTIMETRES;MAXWIDTH;1889/2;1-3;M
8;MAXIMUM HEIGHT OF HIGHEST VEHICLE IN CENTIMETRES;;;8A;MAXIMUM HEIGHT OF HIGHEST VEHICLE IN CENTIMETRES;MAXHIGH;1726/3;1-3;M
9;MAXIMUM LENGTH OF LONGEST VEHICLE IN CENTIMETRES;;;9A;MAXIMUM LENGTH OF LONGEST VEHICLE IN CENTIMETRES;MAXLEN;1890/2;1-4;M
10;TOTAL WEIGHT,MAX OF HEAVIEST WHEELED VEHICLE IN METRIC TONS;;;10A;TOTAL WEIGHT,MAX OF HEAVIEST WHEELED VEHICLE IN METRIC TONS;MAXTOT;1050/11;1-2;M
11;MAXIMUM AXLE WEIGHT FOR WHEELED VEHICLE IN METRIC TONS;;;11A;MAXIMUM AXLE WEIGHT FOR WHEELED VEHICLE IN METRIC TONS;MAXAXLE;1050/15;1-2;M
12;NUMBER OF AXLES OF HEAVIEST WHEELED VEHICLE;;;12A;NUMBER OF AXLES OF HEAVIEST WHEELED VEHICLE;AXNUM;1044/381;1-3;M
13;AXLE WEIGHT (LOAD) OF HEAVIEST WHEELED VEHIC. IN METRIC TONS;;;13A;AXLE WEIGHT (LOAD) OF HEAVIEST WHEELED VEHIC. IN METRIC TONS;AXWEIGHT;1050/10;1-2;M*
14;AXLE CENTRE DISTANCE OF HEAVIEST VEHICLE IN CENTIMETRES;;;14A;AXLE CENTRE DISTANCE OF HEAVIEST VEHICLE IN CENTIMETRES;AXCENDIS;1896/2;1-4;M*
