FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CIVILIAN/MILITARY AIR NAVIGATION AID TYPE;;;1A;CIVILIAN MILITARY AIR NAVIGATION AID TYPE;;1200/4;2-5;M
2;NAVIGATION AID NAME;;;2A;NAVIGATION AID NAME;;1022/37;1-30;O
3;NAVIGATION AID ICAO CODE;;;3A;NAVIGATION AID ICAO CODE;;1246/28;2-5;O
4;NAVIGATION AID FREQUENCY;;;4A;FREQUENCY IN MEGAHERTZ;NAVFRQ;1068/1;1-16;O
;NAVIGATION AID FREQUENCY;;;4B;FREQUENCY DESIGNATOR;NAVDSG;1396/1;;
;NAVIGATION AID FREQUENCY;;;4C;FREQUENCY MODE AND NUMERIC;FREQ;2498;;
5;NAVIGATION AID LOCATION;;;5A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;O
;NAVIGATION AID LOCATION;;;5B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;NAVIGATION AID LOCATION;;;5C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;NAVIGATION AID LOCATION;;;5D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;NAVIGATION AID LOCATION;;;5E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;NAVIGATION AID LOCATION;;;5F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
