FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MINEFIELD DESIGNATOR;;;1A;MINEFIELD DESIGNATOR;;1012/90;4-6;M
2;DELIVERY VEHICLE;;;2A;NAVAL VESSEL TYPE;;1166/3;2-6;M
;DELIVERY VEHICLE;;;2B;AIRCRAFT TYPE MODEL;ACTYPE;1015/4;;
3;NAVIGATION METHOD;;;3A;NAVIGATION METHOD;;1486/1;2-10;M
4;TIME COMPLETED;;;4A;DAY-TIME OF COMPLETION;;2000;7-14;M
;TIME COMPLETED;;;4B;DAY-TIME AND MONTH OF COMPLETION;;2030;;
;TIME COMPLETED;;;4C;MONTH DAY-TIME OF COMPLETION;;2251;;
;TIME COMPLETED;;;4D;DTG;;2033;;
5;ACTIVATION TIME;;;5A;DAY-TIME OF ACTIVATION;;2000;7-14;M
;ACTIVATION TIME;;;5B;DAY-TIME AND MONTH OF ACTIVATION;;2030;;
;ACTIVATION TIME;;;5C;MONTH DAY-TIME OF ACTIVATION;;2251;;
;ACTIVATION TIME;;;5D;DTG;;2033;;
6;DEACTIVATION TIME;;;6A;DAY-TIME OF DEACTIVATION;;2000;7-14;M
;DEACTIVATION TIME;;;6B;DAY-TIME AND MONTH OF DEACTIVATION;;2030;;
;DEACTIVATION TIME;;;6C;MONTH DAY-TIME OF DEACTIVATION;;2251;;
;DEACTIVATION TIME;;;6D;DTG;;2033;;
7;MINE RESEEDING INDICATOR;;;7A;MINE RESEEDING INDICATOR;;1152/1;2-2;M
