FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;MINE CASE;;;1A;MINE CASE;;1141/1;1-1;M
2;FIRING SYSTEM 1;;;2A;FIRING SYSTEM;;1601/1;1-1;O
3;FIRING SYSTEM 2;;;3A;FIRING SYSTEM;;1601/1;1-1;O
4;FIRING SYSTEM 3;;;4A;FIRING SYSTEM;;1601/1;1-1;O
5;MINE REFERENCE NUMBER;;;5A;MINE REFERENCE NUMBER;;1012/186;4-8;O
6;LAYING REFERENCE NUMBER (LRN);;;6A;LAYING REFERENCE NUMBER (LRN);;1012/188;2-15;O
7;GEODETIC DATUM;;;7A;GEODETIC DATUM;;1195/1;3-6;O
8;POSITION;;;8A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-35;O
;POSITION;;;8B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;POSITION;;;8C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;POSITION;;;8D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;POSITION;;;8E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;POSITION;;;8F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
;POSITION;;;8G;PLACE NAME;NAME;1022/170;;
;POSITION;;;8H;TRUE BEARING AND DISTANCE FROM REF POINT;TBR;2047;;
;POSITION;;;8I;Q-ROUTE POSITION;QPOS;2203;;
9;NAVIGATION SYSTEM CODE;;;9A;NAVIGATION SYSTEM CODE;;1200/1;1-2;O
10;DAY-TIME;;;10A;DAY-TIME;;2000;7-7;O
11;STATUS OF MINE;;;11A;OTHER MINE STATUS IDENTIFIER;OTHER;1204/3;6-17;O
;STATUS OF MINE;;;11B;FLOATING MINE DIRECTION (TRUE);;2218;;
;STATUS OF MINE;;;11C;EXPLODED MINE RELATIVE BEARING AND DISTANCE;;2219;;
;STATUS OF MINE;;;11D;REMOVED MINE BEARING (TRUE) AND DISTANCE;;2220;;
;STATUS OF MINE;;;11E;MINE STATUS WITH DATE TIME GROUP;;2221;;
