FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;HAVEN IDENTIFIER;;;1A;PHONETIC ALPHABETIC OR NUMERIC IDENTIFIER;;1128/7;3-14;M
;HAVEN IDENTIFIER;;;1B;PHONETIC ALPHABETIC-NUMERIC IDENTIFIER;;2406;;
;HAVEN IDENTIFIER;;;1C;PHONETIC IDENTIFIER;;2407;;
;HAVEN IDENTIFIER;;;1D;DUAL SUBMARINE TRACK IDENTIFIERS;;2198;;
2;SIZE OF SUBMARINE HAVEN;;;2A;RECTANGULAR MOVING HAVEN DIMENSIONS, NM, VERIFIED;;2199;7-13;M
;SIZE OF SUBMARINE HAVEN;;;2B;NON-DISCRETE INDICATOR, AS REQUIRED;;1084/2;;
3;SPEED OF ADVANCE;;;3A;SPEED OF ADVANCE (SOA), KNOTS, VERIFIED;;2332;5-8;M
;SPEED OF ADVANCE;;;3B;NON-DISCRETE INDICATOR, AS REQUIRED;;1084/2;;
4;TYPE OF TRACK;;;4A;SUBMARINE TRACK TYPE;;1372/2;2-7;M
;TYPE OF TRACK;;;4B;NON-DISCRETE INDICATOR, AS REQUIRED;;1084/2;;
