FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;COURIER SCHEDULE NUMBER;;;1A;COURIER SCHEDULE NUMBER;;1012/51;1-4;M
2;TRANSPORTATION MEANS;;;2A;TRANSPORTATION MEANS;;1269/2;2-3;M
3;NATO SECURITY CLASSIFICATION, ABBREVIATED;;;3A;NATO SECURITY CLASSIFICATION, ABBREVIATED;;1288/2;2-6;M
4;DATE AND TIME INDICATOR;;;4A;DAY-TIME AND MONTH OF ARRIVAL;;2030;1-13;M
;DATE AND TIME INDICATOR;;;4B;ARRIVAL REFERENCE TIME INDICATOR;;1258/2;;
;DATE AND TIME INDICATOR;;;4C;ADJUSTED REFERENCE TIME OF ARRIVAL;;2055;;
5;COMMAND POST/HEADQUARTERS LOCATION TYPE;;;5A;COMMAND POST HEADQUARTERS LOCATION TYPE;;1284/2;2-6;M
6;DATE AND TIME OF DEPARTURE;;;6A;DAY-TIME AND MONTH OF DEPARTURE;;2030;1-13;M
;DATE AND TIME OF DEPARTURE;;;6B;DEPARTURE REFERENCE TIME INDICATOR;;1258/3;;
;DATE AND TIME OF DEPARTURE;;;6C;ADJUSTED REFERENCE TIME OF DEPARTURE;;2055;;
