FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CONTAMINATION, DOSE, DOSE RATE/DOSAGE AND HAZARD;;;1A;LEVEL OF CONTAMINATION AND UNIT OF MEASUREMENT;CON;2464;3-12;M
;CONTAMINATION, DOSE, DOSE RATE/DOSAGE AND HAZARD;;;1B;LEVEL OF DOSE AND UNIT OF MEASUREMENT;DOS;2457;;
;CONTAMINATION, DOSE, DOSE RATE/DOSAGE AND HAZARD;;;1C;LEVEL OF DOSE RATE/DOSAGE AND UNIT OF MEASUREMENT;RAT;2456;;
;CONTAMINATION, DOSE, DOSE RATE/DOSAGE AND HAZARD;;;1D;LEVEL OF HAZARD;;2467;;
2;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;2A;LATITUDE AND LONGITUDE, MINUTES, 0-4 DECIMAL PLACES;;2571;1-22;M*
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;2B;UNIVERSAL TRANSVERSE MERCATOR (UTM);UTM;2572;;
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;2C;MILITARY GRID REFERENCE SYSTEM (UTM) (MGRS-UTM);MGRS;2573;;
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;2D;UNIVERSAL POLAR STEREOGRAPHIC (UPS);UPS;2574;;
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;2E;MILITARY GRID REFERENCE SYSTEM (UPS) (MGRS-UPS);MUPS;2575;;
;LIMIT CONTOUR LINE OR AREA OF CONTAMINATION;;;2F;NATIONAL GRID SYSTEM COORDINATES;GRID;1911/1;;
