FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CONTACT SERIAL NUMBER;;;1A;CONTACT SERIAL NUMBER;;1012/67;1-3;M
2;UNIT IDENTIFIER;;;2A;UNIT;;1022/57;1-30;M
;UNIT IDENTIFIER;;;2B;TRADEMARK;TM;1416/3;;
3;LOCATING REPORT NUMBER;;;3A;LOCATING REPORT NUMBER;;2296;3-4;M
;LOCATING REPORT NUMBER;;;3B;NOT REPORTED IN FLIGHT;;1449/1;;
4;SUBMARINE CLASSIFICATION/CONFIDENCE LEVEL;;;4A;SUBMARINE CLASSIFICATION CONFIDENCE LEVEL;;1123/5;4-5;M
5;FLAG;;;5A;FLAG;;1026/3;2-2;M
6;SUBMARINE PROPULSION TYPE;;;6A;SUBMARINE PROPULSION TYPE;;1339/1;3-3;M
7;CLASS OR TYPE;;;7A;SUBMARINE TYPE;;1166/2;2-10;O
;CLASS OR TYPE;;;7B;SUBMARINE CLASS NAME;;1038/1;;
8;CREDIBILITY;;;8A;CREDIBILITY;;1461/1;3-4;O
9;CONTACT PHOTO STATUS;;;9A;CONTACT PHOTO STATUS;;1450/1;3-3;O
10;SHIP CONTROL NUMBER;;;10A;SHIP CONTROL NUMBER;;2282;6-6;O
11;DESIGNATOR OR IDENTIFIER;;;11A;NATO SUBMARINE CONTACT DESIGNATOR;SUB;2152;4-4;O
;DESIGNATOR OR IDENTIFIER;;;11B;DISCRETE IDENTIFIER;;1625/25;;
