FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;CONTACT SERIAL NUMBER;;;1A;CONTACT SERIAL NUMBER;;1012/67;1-3;M
2;VESSEL NAME;;;2A;VESSEL NAME;;1022/264;1-38;M
3;NATIONALITY;;;3A;NATIONALITY;;1026/2;2-2;M
4;CONTACT PHOTO STATUS;;;4A;CONTACT PHOTO STATUS;;1450/1;3-3;M
5;HULL COLOUR;;;5A;HULL COLOUR;;1138/2;3-6;M
6;VESSEL SUSPICION CODE;;;6A;VESSEL SUSPICION CODE;;1698/2;2-2;M
7;PLEASURE CRAFT TYPE;;;7A;PLEASURE CRAFT TYPE;;1166/8;2-8;O
8;MANUFACTURER;;;8A;BRAND NAME;;1022/265;1-20;O
9;HULL LENGTH;;;9A;HULL LENGTH, FEET OR METRES,;;2266;2-7;O
10;NUMBER OF ADDITIONAL VESSELS IN AREA;;;10A;NUMBER OF ADDITIONAL VESSELS IN AREA;;1044/115;1-3;O
