FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;PRISONER OF WAR INTERNMENT NUMBER;;;1A;PRISONER OF WAR INTERNMENT NUMBER;;2448;3-12;O
2;PW INTERROGATION SERIAL NUMBER;;;2A;PW INTERROGATION SERIAL NUMBER;;1012/231;27-27;C
3;LAST NAME;;;3A;LAST NAME;;1022/255;1-54;M
4;FIRST NAME(S);;;4A;FIRST NAME(S);;1022/256;1-54;M
5;MIDDLE NAME(S)/INITIAL(S);;;5A;MIDDLE NAME(S) INITIAL(S);;1022/257;1-54;M
6;BIRTH NAME;;;6A;BIRTH NAME;;1022/258;1-54;M
7;PERSONAL TITLE;;;7A;PERSONAL TITLE;;1022/259;1-54;M
8;GENDER, ABBREVIATED;;;8A;GENDER, ABBREVIATED;;1286/13;1-1;M
9;COUNTRY;;;9A;COUNTRY;;1026/18;2-2;M
10;PERSONAL IDENTIFICATION NUMBER;;;10A;PERSONAL IDENTIFICATION NUMBER;;1012/230;1-20;M
11;DATE OF BIRTH OR AGE;;;11A;DATE OF BIRTH, YYYYMMDD;;2053;1-8;M
;DATE OF BIRTH OR AGE;;;11B;AGE;;1044/357;;
12;PLACE NAME;;;12A;PLACE NAME, EXTENDED;;1022/261;1-54;O
13;COUNTRY OF BIRTH;;;13A;COUNTRY OF BIRTH;;1026/13;2-2;O
14;COMMENTS;;;14A;COMMENTS;;1357/1;1-68;O
