FF-SEQ;FIELD USE DESIGNATOR;;;CLASSNAME;NAME;FLD DESC;FFIRN;STRUCTURE;CARD;
1;UNIT DESIGNATOR;;;1A;SHIP NAME;SHIP;1022/49;1-38;M
;UNIT DESIGNATOR;;;1B;UNIT CALL SIGN;CS;1129/33;;
;UNIT DESIGNATOR;;;1C;UNIT DESIGNATOR;UNIT;1028/43;;
2;CONTACT NAME;;;2A;CONTACT NAME;;1022/7;1-20;O
3;RANK OR POSITION;;;3A;RANK OR POSITION;;1046/2;1-16;O
4;MULTILINK COORDINATION DUTY;;;4A;MULTILINK COORDINATION DUTY;;1109/3;3-4;M
5;CONTACT DETAILS;;;5A;NON-SECURE TELEPHONE NUMBER, INTERNATIONAL;TEL;1361/12;1-60;M*
;CONTACT DETAILS;;;5B;SECURE TELEPHONE NUMBER, INTERNATIONAL;SECTEL;1361/13;;
;CONTACT DETAILS;;;5C;NON-SECURE TACTICAL TELEPHONE NUMBER;TELTAC;1361/14;;
;CONTACT DETAILS;;;5D;SECURE TACTICAL TELEPHONE NUMBER;SECTAC;1361/15;;
;CONTACT DETAILS;;;5E;RADIO FREQUENCY;FRQ;2064;;
;CONTACT DETAILS;;;5F;FREQUENCY DESIGNATOR;FRQDES;1396/1;;
;CONTACT DETAILS;;;5G;ELECTRONIC MAIL ADDRESS;EMAIL;1183/7;;
;CONTACT DETAILS;;;5H;SECURE ELECTRONIC MAIL ADDRESS;SMAIL;1183/9;;
