null;null;1.;(2) P ([1] @)
null;null;2.;(3)F1 A "OWNSITREP"
null;null;3.;(9)F2 = "OWN FORCES TASK ORGANIZATION"
null;null;4.;(9S) @< 2
null;null;5.;(15)F1 A "COMMANDERS ASSESSMENT"
null;null;6.;(16)F2 = "OWN FORCES PRESENCE REPORT"
null;null;7.;(16S) @< 2
null;null;8.;(23) P ([16S] !@)
null;null;9.;(23)F1 A "COMMANDERS ASSESSMENT"
null;null;10.;(24)F2 = "OWN FORCES UNIT STATUS"
null;null;11.;(24S) @< 2
null;null;12.;(36)F1 A "ATTITUDE AND INTENTION"
null;null;13.;(37) P ([24S] !@)
null;null;14.;(37)F1 A "COMMANDERS ASSESSMENT"
null;null;15.;(38)F2 = "CONTROL AND COORDINATION LINES"
null;null;16.;(38S) @< 2
null;null;17.;(42) QP ([40]F2 = "BOUND")
null;null;18.;(44) P ([43] @)
null;null;19.;(45) P ([38S] !@)
null;null;20.;(45)F1 A "COMMANDERS ASSESSMENT"
null;null;21.;(7)F10 Q (F2 = "CORPS" / "ARMY" / "AG" / "MOD" / "MD")
null;null;22.;(10)F10 Q (F2 = "CORPS" / "ARMY" / "AG" / "MOD" / "MD")
null;null;23.;(12)F10 Q (F2 = "CORPS" / "ARMY" / "AG" / "MOD" / "MD")
null;null;24.;(17)F10 Q (F2 = "CORPS" / "ARMY" / "AG" / "MOD" / "MD")
null;null;25.;(25)F10 Q (F2 = "CORPS" / "ARMY" / "AG" / "MOD" / "MD")
null;null;26.;(28)F8 QP (F2 = "RAD")
null;null;27.;(29)F10 QP (F1 = "-")
null;null;28.;(39)F10 Q (F2 = "CORPS" / "ARMY" / "AG" / "MOD" / "MD")
