FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MISSION NUMBER; ; ;CURRENT / CURRENT;1012/069;1-8;X
2 M;(NU) TRANSPORTATION REQUIREMENT IDENTIFIER;ID;A;CURRENT / CURRENT;1102/011;1-8;X
;(NU) UNIT LINE NUMBER;ULN;B;CURRENT / CURRENT;1012/246;7-8;AN
;(NU) UNIT IDENTIFICATION CODE, SPECIFIC;UIC;C;CURRENT / CURRENT;1028/039;1-6;AN
;(NU) PERSONNEL INCREMENT NUMBER;PIN;D;CURRENT / CURRENT;1012/251;7;AN
;(NU) CARGO INCREMENT NUMBER;CIN;E;CURRENT / CURRENT;1012/252;7;AN
3 M;(NU) ONLOAD LEG REFERENCE NUMBER; ; ;CURRENT / CURRENT;1012/249;1-6;X
4 M;(NU) OFFLOAD LEG REFERENCE NUMBER; ; ;CURRENT / CURRENT;1012/250;1-6;X
5 O;(NU) NUMBER OF PASSENGERS; ; ;CURRENT / CURRENT;1044/088;1-4;N
6 O;(NU) BULK CARGO IN SHORT TONS IN TENTHS; ; ;CURRENT / CURRENT;1800/002;2-5;NS
7 O;(NU) HOIST REQUIREMENT INDICATOR; ; ;CURRENT / CURRENT;1027/052;2-3;A
8 O;(NU) TYPE OF SUPPORT EQUIPMENT; ; ;CURRENT / CURRENT;1135/009;1-20;X
9 O;(NU) HAZARDOUS CARGO DESIGNATOR, ABBREVIATED; ; ;CURRENT / CURRENT;1221/003;1-5;ANS
10 O;(NU) SINGLE DAGGER REQUIRED; ; ;CURRENT / CURRENT;1359/022;1;A
11 O;(NU) NET EXPLOSIVE WEIGHT; ; ;CURRENT / CURRENT;2487/002;3-7;AN
12 O;(NU) OVERSIZE CARGO IN SHORT TONS IN TENTHS; ; ;CURRENT / CURRENT;1800/003;2-5;NS
13 O;(NU) OUTSIZE CARGO IN SHORT TONS IN TENTHS; ; ;CURRENT / CURRENT;1800/004;2-5;NS
14 O;(NU) NUMBER OF STRETCHER PATIENTS, 0-999; ; ;CURRENT / CURRENT;1044/325;1-3;N
15 O;(NU) NUMBER OF AMBULATORY PATIENTS; ; ;CURRENT / CURRENT;1044/326;1-3;N
16 O;(NU) NUMBER OF ATTENDANTS; ; ;CURRENT / CURRENT;1044/327;1-3;N
17 O;(NU) CONTACT NAME; ; ;CURRENT / CURRENT;1022/007;1-20;X
