FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) MISSION NUMBER;1;MSNNO; ; ;CURRENT / CURRENT;1012/069;1-8;X;L
2 M;(NU) TYPE OF CONTROL AGENCY;10;CONT; ; ;CURRENT / CURRENT;1395/003;3-4;A;L
3 M;(NU) CALL SIGN OF CONTROL AGENCY;15;CALLSIGN; ; ;CURRENT / CURRENT;1129/010;1-15;X;L
4 M;(NU) PRIMARY FREQUENCY IN MEGAHERTZ;31;PRIFRQ; ;A;CURRENT / CURRENT;1068/003;2-8;NS;L
;(NU) PRIMARY FREQUENCY DESIGNATOR;null;PRIFRQ; ;B;CURRENT / CURRENT;1396/002;1-8;AN;L
5 O;(NU) SECONDARY FREQUENCY IN MEGAHERTZ;40;SECFRQ; ;A;CURRENT / CURRENT;1068/004;2-8;NS;L
;(NU) SECONDARY FREQUENCY DESIGNATOR;null;SECFRQ; ;B;CURRENT / CURRENT;1396/003;1-8;AN;L
6 O;(NU) REPORT-IN POINT, LAT/LONG, MINUTES;49;REPIN;M;A;CURRENT / CURRENT;2023/048;11;AN;L
;(NU) REPORT-IN POINT, GEOREF, MINUTE;null;REPIN;GM;B;CURRENT / CURRENT;2017/010;8;AN;L
;(NU) REPORT-IN POINT, TRUE BEARING AND DISTANCE IN NM;null;REPIN; ;C;CURRENT / CURRENT;2431/004;5-20;X;L
;(NU) REPORT-IN POINT NAME;null;REPIN;N;D;CURRENT / CURRENT;1022/106;1-18;X;L
;(NU) REPORT-IN POINT, UTM 10-METRE;null;REPIN;TM;E;CURRENT / CURRENT;2086/040;13;AN;L
;(NU) REPORT-IN POINT, UTM 100-METRE;null;REPIN;HM;F;CURRENT / CURRENT;2087/040;11;AN;L
