FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) MINEFIELD DESIGNATOR; ; ;CURRENT / CURRENT;1012/090;4-6;N
2 M;(NU) SHIP TYPE CATEGORY; ;A;CURRENT / CURRENT;1036/008;2-5;A
;(NU) AIRCRAFT TYPE/MODEL;ACTYPE;B;CURRENT / CURRENT;1015/004;2-6;AN
3 M;(NU) NAVIGATION METHOD; ; ;CURRENT / CURRENT;1486/001;2-10;AB
4 M;(NU) DAY-TIME OF COMPLETION, VERIFIED; ;A;CURRENT / CURRENT;2013/041;8;AN
;(NU) DAY-TIME OF COMPLETION; ;B;CURRENT / CURRENT;2000/040;7;AN
;(NU) DATE-TIME MONTH OF COMPLETION, VERIFIED; ;C;CURRENT / CURRENT;2032/012;11;AN
;(NU) DAY-TIME AND MONTH OF COMPLETION; ;D;CURRENT / CURRENT;2030/030;10;AN
;(NU) MONTH DAY-TIME OF COMPLETION; ;E;CURRENT / CURRENT;2251/002;9;AN
5 M;(NU) DAY-TIME OF ACTIVATION, VERIFIED; ;A;CURRENT / CURRENT;2013/047;8;AN
;(NU) DAY-TIME OF ACTIVATION; ;B;CURRENT / CURRENT;2000/026;7;AN
;(NU) DATE-TIME MONTH OF ACTIVATION VERIFIED; ;C;CURRENT / CURRENT;2032/013;11;AN
;(NU) DAY-TIME AND MONTH OF ACTIVATION; ;D;CURRENT / CURRENT;2030/031;10;AN
;(NU) MONTH DAY-TIME OF ACTIVATION; ;E;CURRENT / CURRENT;2251/003;9;AN
6 M;(NU) DAY-TIME OF DEACTIVATION, VERIFIED; ;A;CURRENT / CURRENT;2013/048;8;AN
;(NU) DAY-TIME OF DEACTIVATION; ;B;CURRENT / CURRENT;2000/051;7;AN
;(NU) DATE-TIME MONTH OF DEACTIVATION, VERIFIED; ;C;CURRENT / CURRENT;2032/014;11;AN
;(NU) DAY-TIME AND MONTH OF DEACTIVATION; ;D;CURRENT / CURRENT;2030/032;10;AN
;(NU) MONTH DAY-TIME OF DEACTIVATION; ;E;CURRENT / CURRENT;2251/004;9;AN
7 M;(NU) MINE RESEEDING INDICATOR; ; ;CURRENT / CURRENT;1152/001;2;AN
