FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SHIP IDENTIFICATION;ID;A;CURRENT / CURRENT;2021/001;4-11;X
;(NU) SHIP NAME;SHIP;B;CURRENT / CURRENT;1022/049;1-38;X
;(NU) BASE NAME;BASE;C;CURRENT / CURRENT;1022/104;1-20;X
;(NU) PLACE NAME;PLACE;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) TASK ORGANIZATION COMMANDER;CDR;E;CURRENT / CURRENT;1037/003;1-20;X
;(NU) STATION DESIGNATOR;STAT;F;CURRENT / CURRENT;1022/185;1-10;X
;(NU) UNIT DESIGNATION;UNIT;G;CURRENT / CURRENT;1028/026;1-35;X
;(NU) AIRCRAFT TYPE AND MODEL;AC;H;CURRENT / CURRENT;1015/020;2-6;AN
;(NU) NADGE SITE DESIGNATOR;NADGE;I;CURRENT / CURRENT;1022/206;1-30;X
2 O;(NU) CALL SIGN;CS;A;CURRENT / CURRENT;1129/001;1-38;X
;(NU) CALL SIGN LINE NUMBER;CSLN;B;CURRENT / CURRENT;1012/679;4;N
3 M;(NU) PARTICIPATING UNIT (PU) ADDRESS/NUMBER;PU;A;CURRENT / CURRENT;1625/023;2;N
;(NU) LINK UNIT LINE NUMBER;LULN;B;CURRENT / CURRENT;1012/603;4;N
4 M;(NU) LINK 11/11B TRACK NUMBER BLOCK;BLOCK;A;CURRENT / CURRENT;2611/001;9;NS
;(NU) LINK 11 TRACK NUMBER POOL;POOL;B;CURRENT / CURRENT;2611/002;9;NS
5 O;(NU) FORWARDING TRACK NUMBER BLOCK;FBLOCK; ;CURRENT / CURRENT;2611/003;9;NS
* 6 O;(NU) LINK DUTY; ; ;CURRENT / CURRENT;1109/002;2-4;AN
