FF-SEQ;FIELD USE DESIGNATOR;ST COL;COLUMN HEADER;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE;JUSTIF
1 M;(NU) LINE REFERENCE NUMBER;1;LN; ; ;CURRENT / CURRENT;1348/003;2;N;R
2 M;(NU) CONSIGNEE, ARMED SERVICE;4;CONSIGNEE; ;A;CURRENT / CURRENT;1107/003;1;A;L
;(NU) CONSIGNEE;null;CONSIGNEE; ;B;CURRENT / CURRENT;1022/178;2-10;X;L
3 M;(NU) LOAD TYPE;15;TYPE; ; ;CURRENT / CURRENT;1173/001;3-6;A;L
4 C;(NU) NUMBER OF PIECES OF CARGO;22;QTY; ; ;CURRENT / CURRENT;1044/272;1-4;N;R
5 M;(NU) CARGO WEIGHT IN METRIC TONS;27;MTONS; ; ;CURRENT / CURRENT;1050/006;1-5;N;R
6 M;(NU) CARGO VOLUME IN CUBIC METRES;33;CUBE; ; ;CURRENT / CURRENT;1063/006;1-5;N;R
7 O;(NU) CARGO WEIGHT IN LONG TONS;39;LTONS; ; ;CURRENT / CURRENT;1167/002;1-5;N;R
8 O;(NU) CARGO VOLUME IN MEASUREMENT TONS;45;MEATN; ; ;CURRENT / CURRENT;1168/002;1-5;N;R
9 O;(NU) CARGO CONTAINER TYPE;51;CONTNR; ; ;CURRENT / CURRENT;1190/002;2-6;A;L
10 O;(NU) BARGE NUMBER;58;BARNO; ; ;CURRENT / CURRENT;1012/138;1-5;N;R
