FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) PLATFORM TYPE; ; ;CURRENT / CURRENT;1426/002;5-9;A
2 M;(NU) OPERATIONAL STAND-OFF RANGE, NAUTICAL MILES; ; ;CURRENT / CURRENT;2162/002;7-13;ANS
3 M;(NU) EMERGENCY STAND-OFF RANGE, NAUTICAL MILES; ; ;CURRENT / CURRENT;2162/003;7-13;ANS
4 M;(NU) SUBMARINE CLASSIFICATION/CONFIDENCE LEVEL; ; ;CURRENT / CURRENT;1123/005;4-6;AN
5 O;(NU) TIME DURATION IN MINUTES AND SECONDS; ; ;CURRENT / CURRENT;2163/001;4;N
6 O;(NU) OFFSET DISTANCE, NM; ; ;CURRENT / CURRENT;2437/002;3-7;ANS
7 O;(NU) LEVEL INDICATOR; ; ;CURRENT / CURRENT;1427/004;3-6;A
8 O;(NU) WATER DEPTH, FEET OR METRES, DECIMAL PERMITTED; ; ;CURRENT / CURRENT;2264/005;2-7;ANS
9 O;(NU) DISTANCE TO LAND, NM; ; ;CURRENT / CURRENT;2437/003;3-7;ANS
10 O;(NU) DISTANCE TO MERCHANT, NM; ; ;CURRENT / CURRENT;2437/004;3-7;ANS
