FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NATO AIRBORNE EARLY WARNING (NAEW) ALLOTMENT PRIORITY;PRI; ;CURRENT / CURRENT;1661/001;2;N
2 M;(NU) OPERATIONAL CONTROL AUTHORITY; ; ;CURRENT / CURRENT;1028/008;1-20;X
3 M;(NU) MISSION NUMBER; ; ;CURRENT / CURRENT;1012/069;1-8;X
4 M;(NU) AIRCRAFT IDENTIFICATION NUMBER; ; ;CURRENT / CURRENT;1012/084;1-10;X
5 M;(NU) AIR TRAFFIC CONTROLLER CALL SIGN; ; ;CURRENT / CURRENT;1129/026;1-38;X
6 M;(NU) MISSION CALL SIGN; ; ;CURRENT / CURRENT;1129/021;1-38;X
7 M;(NU) ICAO DEPARTURE LOCATION; ; ;CURRENT / CURRENT;1125/004;4;AN
8 M;(NU) DAY-TIME OF TAKEOFF; ; ;CURRENT / CURRENT;2000/075;7;AN
9 M;(NU) DAY-TIME ON STATION; ; ;CURRENT / CURRENT;2000/033;7;AN
10 M;(NU) TACTICAL CONTROL AUTHORITY; ; ;CURRENT / CURRENT;1028/012;1-20;X
11 M;(NU) NATO AIRBORNE EARLY WARNING (NAEW) ORBIT IDENTIFIER; ;A ;CURRENT / CURRENT;1577/002;2-4;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;B;CURRENT / CURRENT;2022/001;7;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;C;CURRENT / CURRENT;2023/001;11;AN
12 M;(NU) FLIGHT LEVEL NUMBER; ; ;CURRENT / CURRENT;1012/042;3;N
13 M;(NU) DAY-TIME OFF STATION; ; ;CURRENT / CURRENT;2000/035;7;AN
14 M;(NU) DAY-TIME OF LANDING; ; ;CURRENT / CURRENT;2000/076;7;AN
15 M;(NU) ICAO RECOVERY BASE; ; ;CURRENT / CURRENT;1125/005;4;AN
16 O;(NU) AIR REFUELLING AREA NAME;N;A;CURRENT / CURRENT;1022/184;1-20;X
;(NU) GEOGRAPHIC POSITION, LAT/LONG, DEGREES; ;B;CURRENT / CURRENT;2022/001;7;AN
;(NU) GEOGRAPHIC POSITION, LAT/LONG, MINUTES; ;C;CURRENT / CURRENT;2023/001;11;AN
17 O;(NU) FLIGHT LEVEL NUMBER; ; ;CURRENT / CURRENT;1012/042;3;N
18 O;(NU) DAY-TIME OF AIR REFUELLING CONTROL; ; ;CURRENT / CURRENT;2000/081;7;AN
19 O;(NU) FUEL ONLOADED IN THOUSANDS OF POUNDS (KLBS); ; ;CURRENT / CURRENT;1578/003;1-3;N
