FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NUMBER OF PAGES OF REPORT; ; ;CURRENT / CURRENT;1044/200;1-3;N
2 C;(NU) NUMBER OF PHOTOS OF REPORT; ; ;CURRENT / CURRENT;1044/201;1-3;N
3 C;(NU) DATE CALENDAR REPORTING PERIOD BEGINS, DDMMYYYY; ; ;CURRENT / CURRENT;2052/008;8;N
4 C;(NU) DATE CALENDAR REPORTING PERIOD ENDS, DDMMYYYY; ; ;CURRENT / CURRENT;2052/009;8;N
5 C;(NU) ACCESS GRANTED INDICATOR; ; ;CURRENT / CURRENT;1027/014;2-3;A
6 C;(NU) ASSURANCE GIVEN TLE PRESENT INDICATOR; ; ;CURRENT / CURRENT;1027/015;2-3;A
7 C;(NU) TLE ASSIGNMENT INDICATOR; ; ;CURRENT / CURRENT;1027/018;2-3;A
8 C;(NU) INSPECTION DESIGNATION INDICATOR; ; ;CURRENT / CURRENT;1027/019;2-3;A
9 O;(NU) DELAY TIME PERIOD IN HOURS AND MINUTES; ; ;CURRENT / CURRENT;2041/003;4;N
10 O;(NU) TRAVEL TIME PERIOD IN HOURS AND MINUTES; ; ;CURRENT / CURRENT;2041/005;4;N
