FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 O;(NU) PRISONER OF WAR INTERNMENT NUMBER; ; ;CURRENT / CURRENT;2448/001;3-12;X
2 C;(NU) PW INTERROGATION SERIAL NUMBER; ; ;CURRENT / CURRENT;1012/231;27;ANS
3 M;(NU) LAST NAME; ; ;CURRENT / CURRENT;1022/255;1-54;X
4 M;(NU) FIRST NAME(S); ; ;CURRENT / CURRENT;1022/256;1-54;X
5 M;(NU) MIDDLE NAME(S)/INITIAL(S); ; ;CURRENT / CURRENT;1022/257;1-54;X
6 M;(NU) BIRTH NAME; ; ;CURRENT / CURRENT;1022/258;1-54;X
7 M;(NU) PERSONAL TITLE; ; ;CURRENT / CURRENT;1022/259;1-54;X
8 M;(NU) GENDER, ABBREVIATED; ; ;CURRENT / CURRENT;1286/013;1;A
9 M;(NU) COUNTRY; ; ;CURRENT / CURRENT;1026/018;2;A
10 M;(NU) PERSONAL IDENTIFICATION NUMBER; ; ;CURRENT / CURRENT;1012/230;1-20;X
11 M;(NU) DATE OF BIRTH, YYYYMMDD; ;A;CURRENT / CURRENT;2053/008;8;N
;(NU) AGE; ;B;CURRENT / CURRENT;1044/357;1-3;N
12 O;(NU) PLACE NAME; ; ;CURRENT / CURRENT;1022/261;1-54;X
13 O;(NU) COUNTRY OF BIRTH; ; ;CURRENT / CURRENT;1026/013;2;A
14 O;(NU) COMMENTS; ; ;CURRENT / CURRENT;1357/001;1-68;X
