FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) NATIONALITY; ; ;CURRENT / CURRENT;1026/002;2;A
2 M;(NU) ENTITY NAME; ; ;CURRENT / CURRENT;1022/150;1-35;X
3 M;(NU) ARMS CONTROL IDENTIFIER; ; ;CURRENT / CURRENT;2306/003;4-15;X
4 O;(NU) CFE UNIT RECORD NUMBER; ; ;CURRENT / CURRENT;2306/002;4-15;X
5 M;(NU) ECHELON OF COMMAND; ; ;CURRENT / CURRENT;1045/006;1-6;A
6 M;(NU) ARMED SERVICE CODE; ; ;CURRENT / CURRENT;1107/002;1;A
7 M;(NU) CFE ENTITY CODE; ; ;CURRENT / CURRENT;1503/001;1;A
8 M;(NU) CFE ENTITY MISSION TYPE CODE; ; ;CURRENT / CURRENT;1285/006;2-7;A
9 M;(NU) ACTIVE INDICATOR; ; ;CURRENT / CURRENT;1500/001;1;A
10 M;(NU) OBJECT OF VERIFICATION INDICATOR; ; ;CURRENT / CURRENT;1501/001;1;A
11 O;(NU) EFFECTIVE DATE OF CURRENT STATUS, DDMMYYYY; ; ;CURRENT / CURRENT;2052/003;8;N
