FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) Q-ROUTE POINT DESIGNATOR; ;A;CURRENT / CURRENT;2005/001;4-8;ANS
;(NU) ATP-1 POSITION DESIGNATOR; ;B;CURRENT / CURRENT;1612/001;2;A
2 O;(NU) GEODETIC DATUM; ; ;CURRENT / CURRENT;1195/001;3-25;X
3 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;B;CURRENT / CURRENT;2200/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;C;CURRENT / CURRENT;2201/001;22;ANS
;(NU) PLACE NAME;N;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;POSIT;F;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;G;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;H;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;I;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;J;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;M;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;N;CURRENT / CURRENT;2018/001;12;AN
4 O;(NU) GEOGRAPHIC POSITION, LAT/LONG, SECONDS, VERIFIED; ;A;CURRENT / CURRENT;2044/001;18;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/10 SECOND, VERIFIED; ;B;CURRENT / CURRENT;2200/001;22;ANS
;(NU) GEOGRAPHIC POSITION, LAT/LONG, 1/1000 MINUTE, VERIFIED; ;C;CURRENT / CURRENT;2201/001;22;ANS
;(NU) PLACE NAME;N;D;CURRENT / CURRENT;1022/170;1-20;X
;(NU) VERIFIED TRUE BEARING AND DISTANCE FROM REF POINT; ;E;CURRENT / CURRENT;2202/001;11-36;ANBS
;(NU) Q-ROUTE POSITION;POSIT;F;CURRENT / CURRENT;2203/001;7-13;ANS
;(NU) GEOGRAPHIC POSITION, UTM 1,000-METRE; ;G;CURRENT / CURRENT;2088/001;9;AN
;(NU) GEOGRAPHIC POSITION, UTM 100-METRE; ;H;CURRENT / CURRENT;2087/001;11;AN
;(NU) GEOGRAPHIC POSITION, UTM 10-METRE; ;I;CURRENT / CURRENT;2086/001;13;AN
;(NU) GEOGRAPHIC POSITION, UTM 1-METRE; ;J;CURRENT / CURRENT;2089/001;15;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, MINUTE; ;K;CURRENT / CURRENT;2019/001;6;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, MINUTE; ;L;CURRENT / CURRENT;2017/001;8;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, ABBREVIATED, CENTIMINUTE; ;M;CURRENT / CURRENT;2020/001;10;AN
;(NU) GEOGRAPHIC POSITION, GEOREF, CENTIMINUTE; ;N;CURRENT / CURRENT;2018/001;12;AN
5 O;(NU) VERIFIED CHANNEL DIRECTION; ; ;CURRENT / CURRENT;2079/002;5-7;ANS
6 O;(NU) CHANNEL LENGTH, NAUTICAL MILES, VERIFIED; ; ;CURRENT / CURRENT;2206/002;4-8;ANS
7 O;(NU) CHANNEL WIDTH, METRES OR YARDS, VERIFIED; ; ;CURRENT / CURRENT;2207/002;3-7;AN
8 O;(NU) TIDAL STREAM COURSE AND SPEED, WITH DECIMAL PLACES, VERIFIED; ; ;CURRENT / CURRENT;2205/002;11-16;ANS
9 O;(NU) DAY-TIME START; ; ;CURRENT / CURRENT;2000/014;7;AN
10 O;(NU) DAY-TIME AND MONTH OF START; ; ;CURRENT / CURRENT;2030/003;10;AN
11 O;(NU) DTG OF ACTIVATION; ; ;CURRENT / CURRENT;2033/038;14;AN
12 O;(NU) DAY-TIME STOP; ; ;CURRENT / CURRENT;2000/015;7;AN
13 O;(NU) DAY-TIME AND MONTH OF STOP; ; ;CURRENT / CURRENT;2030/004;10;AN
14 O;(NU) DTG OF DEACTIVATION; ; ;CURRENT / CURRENT;2033/039;14;AN
15 O;(NU) DANBUOY LINE OFFSET, METRES OR YARDS, VERIFIED; ; ;CURRENT / CURRENT;2036/001;5-9;ANS
16 O;(NU) VERIFIED DANLINE DIRECTION; ; ;CURRENT / CURRENT;2079/003;5-7;ANS
17 O;(NU) NUMBER OF DANBUOYS; ; ;CURRENT / CURRENT;1044/056;1-2;N
18 O;(NU) DANBUOY SPACING, METRES OR YARDS, VERIFIED; ; ;CURRENT / CURRENT;2208/002;3-7;AN
