FF-SEQ;FIELD USE DESIGNATOR;FLD DESC;ALT;CLASSNAME;FFIRN/FUDN;STRUCTURE
1 M;(NU) SHIP NAME; ;A;CURRENT / CURRENT;1022/049;1-38;X
;(NU) SHIP IDENTIFICATION;S;B;CURRENT / CURRENT;2021/001;4-11;X
2 M;(NU) DAY-TIME OF INCIDENT; ; ;CURRENT / CURRENT;2000/025;7;AN
3 M;(NU) INCIDENT POSITION, LAT/LONG, MINUTES; ;A;CURRENT / CURRENT;2023/018;11;AN
;(NU) TRUE BEARING AND DISTANCE IN NM FROM REFERENCE POINT; ;B;CURRENT / CURRENT;2016/001;6-46;X
;(NU) LOCATION OR POSITION NAME;N;C;CURRENT / CURRENT;1022/006;1-15;X
4 M;(NU) RADIUS, FT, YD, NM, M, KM, KYD; ; ;CURRENT / CURRENT;2432/001;2-8;ANS
5 M;(NU) LOCATION QUALIFIER; ; ;CURRENT / CURRENT;1118/001;2;A
6 M;(NU) SHIP CALL SIGN; ; ;CURRENT / CURRENT;1129/007;1-20;X
7 M;(NU) COLOUR; ; ;CURRENT / CURRENT;1138/001;3-6;A
8 O;(NU) COUNT OF PERSONNEL ON BOARD;POB; ;CURRENT / CURRENT;1044/132;1-3;AN
9 C;(NU) DATA QUALIFIER;QLF; ;CURRENT / CURRENT;1130/002;3;A
